动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
剪切图层,https://getquicker.net/Sharedaction?code=eb1af91b-b023-45b0-90ff-08dddc78ac7c,剪切图层,Adobe Photoshop,Anlv,https://getquicker.net/User/392637/Anlv,16 KB,2025-08-16 16:47,1,"~. 改用uxp实现方式，提高执行效率，若ps版本不支持，请通过动作设置，关闭UXP模式；
~. UXP和CEP方式都能正确封装历史记录。",2025-08-17
阵列网格,https://getquicker.net/Sharedaction?code=c3050b8d-a767-4924-90fa-08dddc78ac7c,选区生成形状阵列,Adobe Photoshop,不会做题家,https://getquicker.net/User/962080/%E4%B8%8D%E4%BC%9A%E5%81%9A%E9%A2%98%E5%AE%B6,136.4 KB,2025-08-16 16:39,0,,2025-08-17
关闭其他文档,https://getquicker.net/Sharedaction?code=7d7b539d-dbbb-4309-90f0-08dddc78ac7c,关闭其他文档。,Adobe Illustrator,Anlv,https://getquicker.net/User/392637/Anlv,7.3 KB,2025-08-16 11:55,0,,2025-08-17
热榜集合,https://getquicker.net/Sharedaction?code=990c0456-48ad-4e58-db00-08dddb8f716d,每日热榜，哔哩哔哩,通用,joie,https://getquicker.net/User/235348/joie,39.2 KB,2025-08-16 07:08,0,,2025-08-17
标题层级增加,https://getquicker.net/Sharedaction?code=efaeda85-23f7-4f48-dab3-08dddb8f716d,将选中的Markdown文本中所有标题增加一个层级（# → ##，## → ###等）,通用,Momean,https://getquicker.net/User/596097/Momean,2.8 KB,2025-08-15 22:54,0,,2025-08-17
标题层级减少,https://getquicker.net/Sharedaction?code=94bfcd6d-c04e-4566-dab2-08dddb8f716d,将选中的Markdown文本中所有标题减少一个层级（## → #，### → ##等）,通用,Momean,https://getquicker.net/User/596097/Momean,3.1 KB,2025-08-15 22:43,1,如果已经是一级标题（#），会保持不变,2025-08-17
便利窗,https://getquicker.net/Sharedaction?code=f8ead30c-b758-4614-a7ff-08dd5143284a,切换多个便利的自定义窗口，存储网址、文本、文件等，自由拖拽,通用,困困君,https://getquicker.net/User/743590/%E5%9B%B0%E5%9B%B0%E5%90%9B,358.3 KB,2025-02-21 03:22,236,贴边不报错,2025-08-17
窗口贴边,https://getquicker.net/Sharedaction?code=51d57f7d-1320-4de5-bf4e-08ddd8acacdb,让窗口自动贴边屏幕,通用,困困君,https://getquicker.net/User/743590/%E5%9B%B0%E5%9B%B0%E5%90%9B,29.6 KB,2025-08-12 15:39,10,winid,2025-08-17
工作台,https://getquicker.net/Sharedaction?code=d8248857-2035-48f6-8f31-08dbf92db44f,一键启动常用程序，可根据不同的场景配置，不同的计划！,通用,反卷练习生,https://getquicker.net/User/684393/%E5%8F%8D%E5%8D%B7%E7%BB%83%E4%B9%A0%E7%94%9F,141 KB,2023-12-10 22:20,6,~修改管理逻辑，点击计划直接运行，右键编辑计划项,2025-08-17
Quicker动作搜索,https://getquicker.net/Sharedaction?code=4a6fedb2-886c-4a09-6af9-08d9b527829a,"默认已更新为主页，希望更多新动作可以被使用。功能等同""工具箱""面板",通用,joie,https://getquicker.net/User/235348/joie,74.2 KB,2021-12-02 20:01,6,-fix 点赞功能,2025-08-17
影子输入法,https://getquicker.net/Sharedaction?code=01c26d91-319f-4a78-30bc-08dd6defaad0,很喜欢的一款PC端输入法。,通用,简单591,https://getquicker.net/User/36130/%E7%AE%80%E5%8D%95591,915 B,2025-03-29 15:05,1,给出在Win11中的配置说明。,2025-08-17
左手数字键盘+屏幕小键盘,https://getquicker.net/Sharedaction?code=edd841a7-b4be-4297-096a-08ddd023581c,"通过左边的字母键模拟数字小键盘,同时提供透明屏幕小键盘，可以使右手不必离开鼠标就可输入数字，欢迎讨论提出改进意见。 ",通用,Qinyl_710,https://getquicker.net/User/139951/Qinyl_710,61.9 KB,2025-07-31 22:48,27,改进流畅度,2025-08-17
分享网址,https://getquicker.net/Sharedaction?code=7137e1d8-5d83-44bc-3fc0-08d9a18c73bf,多个模式获取当前网址和标题并加入剪切板,Microsoft Edge,瓜皮之牙,https://getquicker.net/User/202824/%E7%93%9C%E7%9A%AE%E4%B9%8B%E7%89%99,23.7 KB,2021-11-07 19:52,8,更新于：2025年8月16日16:46:01,2025-08-17
窗口工具箱,https://getquicker.net/Sharedaction?code=7548bd70-bcbb-4530-beb8-08ddcd652bdf,汇集一些窗口功能，检测窗口变化，操作窗口,通用,困困君,https://getquicker.net/User/743590/%E5%9B%B0%E5%9B%B0%E5%90%9B,55.2 KB,2025-07-28 16:10,22,父窗口句柄,2025-08-17
Fast 快捷键,https://getquicker.net/Sharedaction?code=036724b2-ee6a-458d-7e97-08dd23adddae,FastStone Capture 快捷键 自适应显示/调光线/旋转/大小/底色透明,FastStone Capture,闲逛A,https://getquicker.net/User/489948/%E9%97%B2%E9%80%9BA,66.7 KB,2024-12-24 08:41,22,优化,2025-08-17
计算器,https://getquicker.net/Sharedaction?code=1ae2f763-3fa6-447f-91d7-08dc79843f34,实时计算，自动备份，最强大便捷的智能多功能计算器,通用,astroStar,https://getquicker.net/User/178545/astroStar,600 KB,2024-05-22 14:21,294,细节优化,2025-08-17
