动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
snipaste截图,https://getquicker.net/Sharedaction?code=6d63d14a-91be-4811-ece7-08d93868de63,命令行版，非快捷键，稳定，可靠，安全，安装即用！,通用,希望明天是个好天气,https://getquicker.net/User/234406/%E5%B8%8C%E6%9C%9B%E6%98%8E%E5%A4%A9%E6%98%AF%E4%B8%AA%E5%A5%BD%E5%A4%A9%E6%B0%94,28.7 KB,2021-06-27 10:16,24,增加可选功能：启用选中的文本或在文件管理器中的图片后贴到屏幕上,2025-03-18
多模态豆包,https://getquicker.net/Sharedaction?code=0ec4681b-92dd-40f7-d3bf-08dd643ad5f4,使用 WebView 实现豆包多模态，支持文字选中、文件（图片、文档）上传等操作！,通用,RrOrange,https://getquicker.net/User/126233/RrOrange,36.7 KB,2025-03-16 20:27,4,pref: 提升豆包打开性能,2025-03-18
papago,https://getquicker.net/Sharedaction?code=c0460789-f676-4188-649a-08dd652533b7,Translator 配套动作,通用,vv12138,https://getquicker.net/User/104853/vv12138,16.8 KB,2025-03-17 20:32,2,修复未识别的语言问题,2025-03-18
终端快开,https://getquicker.net/Sharedaction?code=2736e969-f618-44d4-d3c5-08dd643ad5f4,自动获取电脑中的 Shell，支持搜索、菜单选择。,WindowsTerminal.exe,ImmortalSty,https://getquicker.net/User/514368/ImmortalSty,53.9 KB,2025-03-16 22:19,2,[+] 更新绿色模式，可通过右键菜单切换。,2025-03-18
PS快捷操作,https://getquicker.net/Sharedaction?code=33c9ddfb-68f5-4b6b-8d68-08dd606400e5,PS常用的快捷操作，如常用快捷键，删除空图层等等,通用,希望明天是个好天气,https://getquicker.net/User/234406/%E5%B8%8C%E6%9C%9B%E6%98%8E%E5%A4%A9%E6%98%AF%E4%B8%AA%E5%A5%BD%E5%A4%A9%E6%B0%94,52.2 KB,2025-03-12 16:57,1,修bug,2025-03-18
目录盒子,https://getquicker.net/Sharedaction?code=f85de00f-8f16-47c6-0c32-08dd615966d7,以当前资源管理器目录作为根，展示所有子目录以便一键跳转,通用,Mola,https://getquicker.net/User/322777/Mola,170.8 KB,2025-03-12 21:34,12,新增，面板右键 新增 设置/打开主目录/切换执行方式(复制/移动/跳转),2025-03-18
快选快切,https://getquicker.net/Sharedaction?code=64de662e-4b6c-4d1c-6482-08dd652533b7,用来代替 Listary 的 Ctrl+G 功能。,Windows 资源管理器,ImmortalSty,https://getquicker.net/User/514368/ImmortalSty,34 KB,2025-03-17 15:32,8,[=] 进一步优化切换路径功能,2025-03-18
Midjourney批量生图,https://getquicker.net/Sharedaction?code=c4fe52fc-43b5-4124-012e-08dc905511b4,可选择提示词输入Discord的次数，快速生图节约时间,通用,希望明天是个好天气,https://getquicker.net/User/234406/%E5%B8%8C%E6%9C%9B%E6%98%8E%E5%A4%A9%E6%98%AF%E4%B8%AA%E5%A5%BD%E5%A4%A9%E6%B0%94,53.7 KB,2024-06-20 16:43,21,修bug,2025-03-18
文库搜索,https://getquicker.net/Sharedaction?code=e62cf947-f8cb-4974-8d2f-08dd606400e5,Zotero 自带的高级搜索,Zotero,十二猫主,https://getquicker.net/User/774543/%E5%8D%81%E4%BA%8C%E7%8C%AB%E4%B8%BB,1.4 KB,2025-03-11 20:15,1,适配Zotero的更新,2025-03-18
AI润色,https://getquicker.net/Sharedaction?code=bae48c3d-b449-4a80-9a9e-08dd5c97ad3b,智能润色助手，支持多AI与联网增强，精准优化你的文本，使表达更流畅、更自然！,通用,思先生,https://getquicker.net/User/47076/%E6%80%9D%E5%85%88%E7%94%9F,153.4 KB,2025-03-06 19:18,24,"请注意，为了扩展更多功能，本次升级后，文本润色或替换文本功能需要在“替换文本设置”中勾选启用。

本次升级实现了绘图功能和自动拷贝文本功能。其中，绘图功能由Pollinations.AI 提供技术支持。

Pollinations.AI 官网地址： https://pollinations.ai/

GitHub地址： https://github.com/pollinations/pollinations

请注意生成的图片不可用于商业用途

升级后，菜单支持折叠，且不影响功能列表的选择。

以下为可实现折叠分类菜单功能的格式：

润色|润色
图询|图询
绘图|绘图
翻译
 英文|英文
 日文|日文
提炼|提炼",2025-03-18
导出SQL,https://getquicker.net/Sharedaction?code=91e40e12-e0e4-4edf-6489-08dd652533b7,PLSQL导出当前选中记录SQL到剪贴板,PL/SQL Developer,L-FD,https://getquicker.net/User/1222739/L-FD,3 KB,2025-03-17 16:43,0,,2025-03-18
