动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
全向对齐,https://getquicker.net/Sharedaction?code=c994ad66-7089-4d10-88f8-08de67f29012,空运行出菜单，传参运行直接触发,Adobe Illustrator,祥睿御免,https://getquicker.net/User/762594/%E7%A5%A5%E7%9D%BF%E5%BE%A1%E5%85%8D,22.7 KB,2026-02-10 09:39,2,1,2026-02-11
统一元素尺寸,https://getquicker.net/Sharedaction?code=3d46c0d3-315d-4d76-88f5-08de67f29012,beta,Adobe Illustrator,Anlv,https://getquicker.net/User/392637/Anlv,25.6 KB,2026-02-10 09:10,0,,2026-02-11
安全弹出,https://getquicker.net/Sharedaction?code=923deada-90cf-47fa-181a-08de66f7c00a,检查那些进程占用了移动盘符，用于安全弹出的脚本，蒸蚌！,Windows 资源管理器,Anlv,https://getquicker.net/User/392637/Anlv,7 KB,2026-02-09 10:26,0,,2026-02-11
更改颜色,https://getquicker.net/Sharedaction?code=7d44ad72-4955-4e40-dc92-08de3bb54158,更改所有选定的填充颜色，适用于纯色图层，文本图层，普通图层和形状图层。如果选择了组，则将颜色更改应用于组中所有使用的图层。,Adobe Photoshop,Anlv,https://getquicker.net/User/392637/Anlv,116.4 KB,2025-12-15 17:36,3,"2026-02-11
~. 执行效率优化(uxp支持判断，改为为仅首次启动时判断)，",2026-02-11
页面顶部,https://getquicker.net/Sharedaction?code=6621b8f5-98de-469c-4301-08dd3883fd2c,快速滚动到 🔺页面顶部🔺,Microsoft Edge,『扪』,https://getquicker.net/User/432041/%E3%80%8E%E6%89%AA%E3%80%8F,159.8 KB,2025-01-20 05:52,8,【优化】提高兼容性,2026-02-11
页面底部,https://getquicker.net/Sharedaction?code=88b37cd7-c95f-4b49-4302-08dd3883fd2c,快速滚动到 🔻页面底部🔻,Microsoft Edge,『扪』,https://getquicker.net/User/432041/%E3%80%8E%E6%89%AA%E3%80%8F,159.8 KB,2025-01-20 05:53,8,  【优化】提高兼容性,2026-02-11
选中组,https://getquicker.net/Sharedaction?code=1a3d3a13-b107-463e-39c2-08dd776c5a34,选中当前图层所在的上一级组,Adobe Photoshop,不想玩啦,https://getquicker.net/User/238960/%E4%B8%8D%E6%83%B3%E7%8E%A9%E5%95%A6,7.2 KB,2025-04-10 11:07,4,添加图标,2026-02-11
超高效剪贴系统,https://getquicker.net/Sharedaction?code=00a8e3fe-69ba-41af-8dba-08dddd68dcad,左右键直接触发十几种不同的操作，左键辅助最有性价比的动作！,通用,星染浅夏,https://getquicker.net/User/1295122/%E6%98%9F%E6%9F%93%E6%B5%85%E5%A4%8F,801.5 KB,2025-08-18 21:14,39,"选中判断尝试备份剪贴内容
取消掉超时退出
阴影判断和复制速度优化",2026-02-11
运行选中文字,https://getquicker.net/Sharedaction?code=00038a7d-d7a7-461c-f0f1-08dda89c234a,选择文字后作为命令执行,通用,运营:秋风,https://getquicker.net/User/475107/%E8%BF%90%E8%90%A5%3A%E7%A7%8B%E9%A3%8E,16.5 KB,2025-06-12 14:13,1,1,2026-02-11
关闭远程RDP,https://getquicker.net/Sharedaction?code=020d80fe-629c-43ba-4a15-08de61439f50,"关闭Windows 远程RDP,让其回到正常显示状态",通用,运营:秋风,https://getquicker.net/User/475107/%E8%BF%90%E8%90%A5%3A%E7%A7%8B%E9%A3%8E,1.6 KB,2026-02-02 11:57,1,1,2026-02-11
