动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
图片悬浮,https://getquicker.net/Sharedaction?code=8fe545e8-9f9e-43eb-3607-08d95890efa9,置顶显示剪贴板图片、选中的链接和图片文件。,通用,恋天忧,https://getquicker.net/User/162890/%E6%81%8B%E5%A4%A9%E5%BF%A7,47.6 KB,2021-08-07 11:09,8,完善部分细节，使获取图片的顺序更加清晰,2024-02-03
鼠控音量,https://getquicker.net/Sharedaction?code=66ca8f83-d073-4671-931a-08da3f202b59,使用【Shift+鼠标拖动】调节音量,通用,恋天忧,https://getquicker.net/User/162890/%E6%81%8B%E5%A4%A9%E5%BF%A7,20.9 KB,2022-05-26 22:02,4,移除影响正常使用的bug，增加拖动方向的选择，稍微优化一下细节,2024-02-03
Everything,https://getquicker.net/Sharedaction?code=ccc1805d-3d04-42a1-d9ef-08db2ba80230,也许是最好用的搜索神器(本地),Everything,李考凡,https://getquicker.net/User/478204/%E6%9D%8E%E8%80%83%E5%87%A1,269.2 KB,2023-03-25 00:27,149,右键支置入Everything下载网站,2024-02-03
一键滴答,https://getquicker.net/Sharedaction?code=f49f5b02-1595-466b-de5a-08dc223fd30b,无需启动滴答清单客户端，通过邮件在后台添加任务。,通用,恋天忧,https://getquicker.net/User/162890/%E6%81%8B%E5%A4%A9%E5%BF%A7,15.2 KB,2024-02-01 02:05,1,更换图标,2024-02-03
文本编辑器,https://getquicker.net/Sharedaction?code=7b41583d-0ca0-4d1c-d997-08d925610577,轻便记事本 or 文本处理工具,通用,咿呀杀杀,https://getquicker.net/User/19337/%E5%92%BF%E5%91%80%E6%9D%80%E6%9D%80,433.7 KB,2021-06-02 12:50,24,- 修复：获取选中文件失效的问题,2024-02-03
微信弹幕(多窗口),https://getquicker.net/Sharedaction?code=f0ea4606-a2ff-4521-9f44-08dc2158e5b3,以弹幕形式显示微信独立窗口的最新聊天信息,通用,huanggc66,https://getquicker.net/User/9010/huanggc66,61.7 KB,2024-01-31 14:33,2,"1、优化消息过滤逻辑，提升获取消息速度

2、设置 菜单增加将新开窗口自动加入窗口列表选项

3、增加徽标闪烁效果，提示动作运行状态

4、优化弹幕显示效果，文字更简洁，消息类型更易区分",2024-02-03
快捷键刷,https://getquicker.net/Sharedaction?code=4aa54bdd-05fd-4150-5da6-08dc207356cf,选中文字后执行快捷键,通用,祥睿御免,https://getquicker.net/User/762594/%E7%A5%A5%E7%9D%BF%E5%BE%A1%E5%85%8D,12.1 KB,2024-01-30 11:04,5,修改动作内描述,2024-02-03
本地以图搜图/以字搜图,https://getquicker.net/Sharedaction?code=597434d8-414d-44bc-7951-08dbd032918c,使用rclip脚本，实现对本地图片库【查找相似图片】和【选出符合描述的图片】的功能,通用,blanka,https://getquicker.net/User/667540/blanka,98.4 KB,2023-10-19 22:04,3,浏览图片时，可连续浏览，通过按键切换图片,2024-02-03
