动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
超级面板,https://getquicker.net/Sharedaction?code=d6ecb355-00c9-4cbf-855f-08dcb927a2ed,Quciker超级面板，智能识别选中的任意文本或文件，执行相应功能,通用,王文铖,https://getquicker.net/User/100745/%E7%8E%8B%E6%96%87%E9%93%96,169 KB,2024-08-11 00:17,13,1.修复收藏夹功能，支持多行文本,2024-08-13
巴德盲狙准星,https://getquicker.net/Sharedaction?code=0f5b1aef-6da9-41b4-607c-08dcba1bd816,屏幕中心增加准星,通用,Bader,https://getquicker.net/User/135289/Bader,6.2 KB,2024-08-12 11:54,1,"1. 支持修改颜色
2. 支持修改准星",2024-08-13
文本处理,https://getquicker.net/Sharedaction?code=d42764bc-4ec3-441d-be77-08dbdcf87739,整合多个文本相关动作。,Adobe Photoshop,Anlv,https://getquicker.net/User/392637/Anlv,117.7 KB,2023-11-05 00:05,5,fix,2024-08-13
重启冰凌服务,https://getquicker.net/Sharedaction?code=e171b013-3bb5-4b13-5f19-08dbcd275990,重启冰凌输入法服务,通用,myhan,https://getquicker.net/User/467528/myhan,7.4 KB,2023-10-15 10:35,2,使用cmd，关闭窗口,2024-08-13
截图识别,https://getquicker.net/Sharedaction?code=0e89ae52-7dcf-446a-a133-08dc6ffecc18,截图识别文字/OCR后60种文本联动处理功能,通用,考Fan,https://getquicker.net/User/478204/%E8%80%83Fan,58.1 KB,2024-05-09 20:07,44,优化,2024-08-13
Translator,https://getquicker.net/Sharedaction?code=04393db9-f4bc-4871-7fb6-08db2506d1ed,极致UI！ChatGPT、谷歌镜像、免费DeepL；14+5个翻译引擎；划词、截图、输入、语音翻译/查词,通用,zryan,https://getquicker.net/User/539621/zryan,604.2 KB,2023-03-16 00:45,40,"【重大更新】
1. 新增：全新的设置界面，更加直观、简洁、现代化！
2. 新增：自定义接口的设置合并到新设置界面中！
3. 新增：AI服务将OpenAI与GoogleAI分离，且数量可无限量添加！
4. 优化：数据结构、动作内容皆进行了调整优化。
【注意事项】
1. 本次更新变动较大，可能会有一些bug，请各位用户升级后多多留意，欢迎在动作讨论区反馈！
2. 网络动作体积很小，但若用户自行修改动作定义，则动作体积会膨胀到>600K，可能影响动作同步！请知悉。
enjoy！",2024-08-13
AI色盘,https://getquicker.net/Sharedaction?code=ef630824-fbe8-4042-e044-08dca91fc350,"仿cdr左键填充、右键描边,按住Ctrl键（可以自定义）点击颜色可以弹出右键进行删除修改颜色",Adobe Illustrator,zdf153,https://getquicker.net/User/20184/zdf153,69.3 KB,2024-07-21 18:14,10,修复外边距设置问题,2024-08-13
EVER智识,https://getquicker.net/Sharedaction?code=4f8b0df2-d031-4309-173c-08d7079ea819,智能根据识别（选中、输入、OCR）的文字（网址、运算、QQ号等）提供相关服务,通用,Ever,https://getquicker.net/User/2774/Ever,369.3 KB,2019-07-13 22:30,90,修复浏览器设置不能对ocr选项搜索生效的问题,2024-08-13
LiteLoaderQQNT一键安装,https://getquicker.net/Sharedaction?code=62acb60d-72ec-41f3-6082-08dcba1bd816,LiteLoaderQQNT一键安装脚本，便于在QQNT更新时一键恢复相关配置,通用,DaveBoy,https://getquicker.net/User/51850/DaveBoy,26.8 KB,2024-08-12 14:27,0,,2024-08-13
PS极字重,https://getquicker.net/Sharedaction?code=e16ee2ae-bca4-4973-0968-08dbd6a53889,可通过传参，对字体家族进行粗细调整,Adobe Photoshop,北京林或西,https://getquicker.net/User/207095/%E5%8C%97%E4%BA%AC%E6%9E%97%E6%88%96%E8%A5%BF,25.9 KB,2023-10-27 18:31,7,修复图层恢复选择的问题。,2024-08-13
窗口神器,https://getquicker.net/Sharedaction?code=d0ef47fd-be70-4b19-3f87-08dbc2d4852c,也许是最好用的窗口调节神器,通用,考Fan,https://getquicker.net/User/478204/%E8%80%83Fan,282.8 KB,2023-10-02 23:09,63,优化.,2024-08-13
极速预览,https://getquicker.net/Sharedaction?code=a2586cea-0743-449b-33a9-08db8f27f1ea,一键速览图片/音频/表格/视频/doc文档/PDF/CAD/电子书等(可在Everything调用QuickLook预览),通用,考Fan,https://getquicker.net/User/478204/%E8%80%83Fan,189.4 KB,2023-07-28 23:43,106,文本预览接口优化,2024-08-13
