动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
抖音下载,https://getquicker.net/Sharedaction?code=2e7f54bc-80ee-476d-d7b4-08ddef742b9a,需要MV3扩展。,Google Chrome,Anlv,https://getquicker.net/User/392637/Anlv,92 KB,2025-09-09 18:08,1,"v1 2025-09-09
~. 支持bilibili",2025-09-09
双向偏移,https://getquicker.net/Sharedaction?code=24bdeaa3-79f3-4193-fbf9-08ddee84b295,双向偏移后空格删除原图形，鼠标左键保留原图形,AutoCAD Application,冰雷木子,https://getquicker.net/User/749380/%E5%86%B0%E9%9B%B7%E6%9C%A8%E5%AD%90,3.6 KB,2025-09-09 10:05,0,,2025-09-09
超级卡片,https://getquicker.net/Sharedaction?code=fee759cb-8cfc-4666-fbf7-08ddee84b295,构建个人的“知识卡片”网络，系统性地管理知识、深化理解并激发创新,通用,Taitun,https://getquicker.net/User/854987/Taitun,357.6 KB,2025-09-09 09:50,0,,2025-09-09
抖音下载,https://getquicker.net/Sharedaction?code=f2746484-4250-4eb7-fbf2-08ddee84b295,下载抖音视频,Google Chrome,Simonl,https://getquicker.net/User/134191/Simonl,7.1 KB,2025-09-09 05:07,0,,2025-09-09
NMS潜在冲突查找,https://getquicker.net/Sharedaction?code=d6b740b9-0835-4696-fbf1-08ddee84b295,用于查看无人深空模组所修改的文件是否重合,No Man's Sky,Maxadam,https://getquicker.net/User/20668/Maxadam,25.3 KB,2025-09-09 01:42,0,,2025-09-09
表格识别,https://getquicker.net/Sharedaction?code=51a621cb-6e03-4954-fbee-08ddee84b295,Quicker服务，频率限制：免费版10分钟1次，专业版10秒钟1次。,通用,ZTOA10,https://getquicker.net/User/234516/ZTOA10,7.5 KB,2025-09-09 00:45,0,,2025-09-09
OCR离线,https://getquicker.net/Sharedaction?code=65f74787-2aef-4154-fbed-08ddee84b295,Quicker离线OCR识别引擎,通用,ZTOA10,https://getquicker.net/User/234516/ZTOA10,16 KB,2025-09-09 00:32,0,,2025-09-09
图案预览,https://getquicker.net/Sharedaction?code=e67be4e8-9fb5-4c1b-fbec-08ddee84b295,开启和关闭PS的图案预览,Adobe Photoshop,不想玩啦,https://getquicker.net/User/238960/%E4%B8%8D%E6%83%B3%E7%8E%A9%E5%95%A6,2.3 KB,2025-09-09 00:25,0,,2025-09-09
序列启动,https://getquicker.net/Sharedaction?code=16601abe-6887-441a-fbcd-08ddee84b295,可以设置序列按键启动软件，实验按键序列检测功能,通用,轻叹流年去,https://getquicker.net/User/686001/%E8%BD%BB%E5%8F%B9%E6%B5%81%E5%B9%B4%E5%8E%BB,19.3 KB,2025-09-08 15:17,1,+ 优化设置，开放等待，开放窗口标题筛选,2025-09-09
获取微信公众号ID、获取公众号BIZ,https://getquicker.net/Sharedaction?code=40479cc2-de21-4375-fbcb-08ddee84b295,浏览器打开微信文章后，执行本动作获取公众号名字和BIZ到剪贴板——需要安装Quicker的浏览器扩展。,Microsoft Edge,煤球小刺,https://getquicker.net/User/130344/%E7%85%A4%E7%90%83%E5%B0%8F%E5%88%BA,3.8 KB,2025-09-08 14:18,0,,2025-09-09
B站下个视频,https://getquicker.net/Sharedaction?code=81daa294-123e-4a28-3f06-08ddedaac4c6,在哔哩哔哩(BiliBili)视频合集的播放页面中，切到下一个视频(下一P),Google Chrome,碎片哒哟,https://getquicker.net/User/609131/%E7%A2%8E%E7%89%87%E5%93%92%E5%93%9F,1.2 KB,2025-09-08 10:18,0,,2025-09-09
B站上个视频,https://getquicker.net/Sharedaction?code=3943c1cd-bf4b-4c5b-3f05-08ddedaac4c6,在哔哩哔哩(BiliBili)视频合集的播放页面中，切到上一个视频(上一P),Google Chrome,碎片哒哟,https://getquicker.net/User/609131/%E7%A2%8E%E7%89%87%E5%93%92%E5%93%9F,1.2 KB,2025-09-08 10:18,0,,2025-09-09
百度翻译,https://getquicker.net/Sharedaction?code=5236d5ed-2a12-45d6-3f03-08ddedaac4c6,百度翻译的小而美窗口。,通用,简单591,https://getquicker.net/User/36130/%E7%AE%80%E5%8D%95591,83.7 KB,2025-09-08 09:29,0,,2025-09-09
B站全屏切换,https://getquicker.net/Sharedaction?code=c45785c4-c226-4ce6-3f02-08ddedaac4c6,在哔哩哔哩(BiliBili)主站播放器的「默认、宽屏、网页全屏、桌面全屏」四个状态间切换,Google Chrome,碎片哒哟,https://getquicker.net/User/609131/%E7%A2%8E%E7%89%87%E5%93%92%E5%93%9F,50.4 KB,2025-09-08 09:17,0,,2025-09-09
内容搜索,https://getquicker.net/Sharedaction?code=483299aa-b38f-4504-3f00-08ddedaac4c6,根据文件内部文本进行搜索。效果类似Anytxt，更简单易用。支持txt、csv、xlsx、xls、doc、docx等等。,通用,M-cc,https://getquicker.net/User/521120/M-cc,309.8 KB,2025-09-08 09:04,0,,2025-09-09
复制当前文件到剪贴板,https://getquicker.net/Sharedaction?code=73b5383e-82c3-4f99-3efc-08ddedaac4c6,复制Obsidian当前打开的文件到剪贴板，需要提前安装插件 Advanced URI,Obsidian,吉他及她,https://getquicker.net/User/109101/%E5%90%89%E4%BB%96%E5%8F%8A%E5%A5%B9,11.1 KB,2025-09-08 00:05,0,,2025-09-09
左手数字键盘+屏幕小键盘,https://getquicker.net/Sharedaction?code=edd841a7-b4be-4297-096a-08ddd023581c,超强提速 建模/绘图/数据输入，左手字母键模拟数字+可选屏幕小键盘，右手不必离开鼠标就可丝滑操作，问题讨论留言。 ,通用,Qinyl_710,https://getquicker.net/User/139951/Qinyl_710,82.8 KB,2025-07-31 22:48,50,解决了同时按下多个按键，原始按键拦截失效问题,2025-09-09
视频解析下载,https://getquicker.net/Sharedaction?code=b8b9d745-a528-4984-057a-08dc0558572f,"支持批量输入链接自动解析下载, 支持抖音,B站,快手等平台视频下载",乐昂岚,乐昂岚,https://getquicker.net/User/81137/%E4%B9%90%E6%98%82%E5%B2%9A,57.4 KB,2023-12-26 17:31,32,新增2接口,2025-09-09
安装离线OCR,https://getquicker.net/Sharedaction?code=d8af44f5-1cf5-4726-d8a3-08db8336c661,全自动安装Quicker离线OCR识别引擎包。（自动下载/安装到指定位置）,通用,M-cc,https://getquicker.net/User/521120/M-cc,500.8 KB,2023-07-13 09:31,13,"+增加删除/重装离线OCR的选项
~优化提示内容。",2025-09-09
置顶,https://getquicker.net/Sharedaction?code=28fc0d60-ec69-4458-e96a-08ddb7775a51,置顶状态一眼识别，边框高亮更直观！,通用,Taitun,https://getquicker.net/User/854987/Taitun,61.3 KB,2025-06-30 09:44,12,优化代码部分细节。,2025-09-09
图片轮盘V2,https://getquicker.net/Sharedaction?code=b9626dd2-e443-4389-7de4-08dde508dfee,"比V1更好用的浏览器图片轮盘, 延迟更低, 体验更好",乐昂岚,乐昂岚,https://getquicker.net/User/81137/%E4%B9%90%E6%98%82%E5%B2%9A,263.2 KB,2025-08-28 11:49,17,不显示powershell弹窗,2025-09-09
抖音分享,https://getquicker.net/Sharedaction?code=2be5eef0-e37b-4540-d322-08dd9c45f2a0,抖音分享的原始链接比较乱，所以写了一个筛选链接和标题文案的动作,Google Chrome,Simonl,https://getquicker.net/User/134191/Simonl,9.4 KB,2025-05-26 22:27,6,"1、优化
2、增加动作参数调用，用于抖音下载",2025-09-09
