动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
前台网页黑白主题,https://getquicker.net/Sharedaction?code=697c99a9-3d48-4223-09fa-08dec30a9ee2,将当前前台浏览器标签页临时切换为黑白灰度显示，再次运行可恢复原色。,通用,Cea,https://getquicker.net/User/113342/Cea,1.2 KB,2026-06-06 06:20,0,,2026-06-07
QuickerAgent,https://getquicker.net/Sharedaction?code=aa5917ad-1256-4c73-7022-08debe3efcbe,quicker cli for ai agent ,通用,Cea,https://getquicker.net/User/113342/Cea,18.2 KB,2026-05-31 04:39,42,"v0.12.3

插件 / Quicker

- 版本号 **0.12.3.0**（与 `quicker.rpc` 依赖包一致，第三段正式发布）
- **QuickerRpc_Run**：`launch_code` 改回 `Launcher.Start(_context)`，兼容 getquicker 依赖下载的正式第三段 DLL
- **右键菜单 agent-kill**：插件从根上下文变量读取 `quicker_in_param`，强制退出 QuickerAgent，不关闭 RPC
- **Costura 单文件** + QExpr `load`/`type` 注册链路保持稳定
- `quicker.rpc` 依赖包同步至 **0.12.3.0**
- 分享动作更新说明与本 Release 一致",2026-06-07
录屏,https://getquicker.net/Sharedaction?code=ed50e1a3-81d2-4f82-2862-08deb3e75025,"录屏, alt结束录屏",通用,ORYS,https://getquicker.net/User/298536/ORYS,23.7 KB,2026-05-18 14:56,8,"新增提醒文本: 环境变量变更需要重启quicker才能生效
新增明显下载地址在设置界面",2026-06-07
剪贴板 n10,https://getquicker.net/Sharedaction?code=df6cc8fc-1a67-4576-fcb0-08deace01986,测试版,通用,Cea,https://getquicker.net/User/113342/Cea,39.5 KB,2026-05-09 07:12,47,"## v0.29.6 (2026-6-6)

- 支持通过 GitHub Actions 自动构建并发布 ClipHost 安装包与便携 zip
- ClipHost 发布产物同步上传至 Bitiful OSS（cea.cliphost），与现有 Quicker 依赖包目录一致
- 修复 ClipHost 窗口 WebView 未延伸到标题栏的问题（保留标题栏合成所需运行时组件）
- 修复收藏夹拖拽 ActionItem2 时动作引用映射异常",2026-06-07
剪贴板,https://getquicker.net/Sharedaction?code=06563728-27be-49ae-27c7-08de9afcb260,记录文本、图片、文件，并执行预设进程规则，支持收藏、云同步,通用,困困君,https://getquicker.net/User/743590/%E5%9B%B0%E5%9B%B0%E5%90%9B,392.8 KB,2026-04-16 18:41,34,"已显示窗口，再次触发会关闭。
所以可以右键-信息-设置快捷键，进行快捷键调用显隐窗口。",2026-06-07
Edge智读 ,https://getquicker.net/Sharedaction?code=50ad76e6-3757-4791-2bd1-08de8cce2f81,无需打开Edge，选中文字，触发即读，中文自动由晓晓、英文ava朗读,通用,用户6903775097...,https://getquicker.net/User/530229/%E7%94%A8%E6%88%B7690377509746788,219.2 KB,2026-03-28 22:44,42,调整默认日志级别，减少普通使用时的日志写入。,2026-06-07
资源管理器\n多标签大师,https://getquicker.net/Sharedaction?code=4bef67a2-da15-4cf6-fb08-08dec119adfa,对资源管理器和文件夹进行单窗口多标签显示,通用,老当益壮,https://getquicker.net/User/1291368/%E8%80%81%E5%BD%93%E7%9B%8A%E5%A3%AE,70.6 KB,2026-06-04 11:15,2,"1.支持文件夹快捷键方式拖曳
2.新增+标签进行新建资源管理器窗口",2026-06-07
桌面录屏,https://getquicker.net/Sharedaction?code=51fc96c9-a7e6-4212-3788-08de9ddab9c2,"有声录屏,显示键鼠，录后可调视频大小。MP4/GIF",通用,老当益壮,https://getquicker.net/User/1291368/%E8%80%81%E5%BD%93%E7%9B%8A%E5%A3%AE,183 KB,2026-04-20 16:06,8,新增自动下载配套软件,2026-06-07
选中文件解除占用,https://getquicker.net/Sharedaction?code=9cf13aa4-9d07-48e8-6cfd-08dec20f58a7,对当前资源管理器选中的文件或指定文件解除占用，使用 Windows Restart Manager 查找占用进程并强制关闭。,通用,笔战人生,https://getquicker.net/User/1090721/%E7%AC%94%E6%88%98%E4%BA%BA%E7%94%9F,22.5 KB,2026-06-05 10:57,1,减少代码,2026-06-07
免费公式识别,https://getquicker.net/Sharedaction?code=2605ff05-b84f-4da6-107c-08db6a78bc4a,公式免费识别,通用,pinbo,https://getquicker.net/User/549488/pinbo,189.1 KB,2023-06-12 00:47,30,免费模式可选择模型,2026-06-07
PixPin,https://getquicker.net/Sharedaction?code=89bfa2e7-7c62-4b97-1736-08dda10577be,"截图,OCR,GIF,贴图",通用,Simonl,https://getquicker.net/User/134191/Simonl,138.2 KB,2025-06-01 20:16,17,增加「OCR」和「延迟截图」快捷打开按键设置,2026-06-07
计算器,https://getquicker.net/Sharedaction?code=d3645960-83e9-446c-928f-08dcd6e4f4f5,【✅本动作免费，价值28.81💰】AI设计的动作，越来越好用。高效强大，实时计算，金额大写， 历史记录，备注，皮肤背景，键盘，汇率换算，日期计算等功能，人性化使用方式。,通用,✅好用✅实用✅易用,https://getquicker.net/User/412766/%E2%9C%85%E5%A5%BD%E7%94%A8%E2%9C%85%E5%AE%9E%E7%94%A8%E2%9C%85%E6%98%93%E7%94%A8,529.4 KB,2024-09-17 16:03,149,汇率计算的网站变成视频站了，先去掉这个功能,2026-06-07
