动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
自定义图库,https://getquicker.net/Sharedaction?code=4cfe0e5f-6f65-405e-ca0a-08deb19da5ec,"在线/本地图片查看器, 在线需自行配置api接口",乐昂岚,乐昂岚,https://getquicker.net/User/81137/%E4%B9%90%E6%98%82%E5%B2%9A,70.1 KB,2026-05-15 14:50,1,1,2026-05-16
最大化/还原,https://getquicker.net/Sharedaction?code=50e11438-51f6-4efd-c9e8-08deb19da5ec,【网页视频】或者【软件窗口】一键全屏/退出,Microsoft Edge,『扪』,https://getquicker.net/User/432041/%E3%80%8E%E6%89%AA%E3%80%8F,18.4 KB,2026-05-14 20:35,1,【网页视频】或者【软件窗口】一键全屏/退出,2026-05-16
比例测量,https://getquicker.net/Sharedaction?code=8b61d8c5-125d-467d-c9ef-08deb19da5ec,通过已知长度，按照比例测量显示尺寸,通用,老当益壮,https://getquicker.net/User/1291368/%E8%80%81%E5%BD%93%E7%9B%8A%E5%A3%AE,19.2 KB,2026-05-14 22:03,0,,2026-05-16
镜像出血(脚本),https://getquicker.net/Sharedaction?code=678172d5-41e5-4f34-c9e7-08deb19da5ec,镜像出血,Adobe Illustrator,Q-Qker,https://getquicker.net/User/684200/Q-Qker,21.9 KB,2026-05-14 20:14,0,,2026-05-16
分行粘贴板@连续读取,https://getquicker.net/Sharedaction?code=4d2206ea-522b-4191-7b83-08deb0ad6916,将选中的文本分行显示，方便分别粘贴。可以连续读取粘贴板，连续读取OCR。,通用,达尔文,https://getquicker.net/User/425512/%E8%BE%BE%E5%B0%94%E6%96%87,8.2 KB,2026-05-14 15:14,0,,2026-05-16
依赖管理,https://getquicker.net/Sharedaction?code=1abfcdc2-b98c-460c-7b7e-08deb0ad6916,快速清理历史版本依赖包,通用,Cea,https://getquicker.net/User/113342/Cea,17.1 KB,2026-05-14 13:31,0,,2026-05-16
多功能面板,https://getquicker.net/Sharedaction?code=58d4cba4-28b7-4c0b-b9b5-08de37f0ba43,可添加网址、程序、动作、命令等到面板,通用,Simonl,https://getquicker.net/User/134191/Simonl,406.1 KB,2025-12-11 12:18,53,"- 去掉「常用按钮」功能；该功能用处不大
- 「打开命令」修改获取常用命令逻辑
- 「打开网址」、「打开文件」、「打开动作」（多个参数传入）、「打开程序」、「打开命令」支持二级菜单",2026-05-16
发送至微信,https://getquicker.net/Sharedaction?code=6e96194a-801d-4a0d-3048-08dcfbc8d3fa,发送截图、选中文本、选中文件、剪贴板文本和图片至微信联系人（自己、文件传输助手、微信好友、微信群、微信公众号）、支持群发,通用,流亡大街,https://getquicker.net/User/977787/%E6%B5%81%E4%BA%A1%E5%A4%A7%E8%A1%97,215.8 KB,2024-11-03 19:30,31,"1. 权限
2. 优化",2026-05-16
切换搜索,https://getquicker.net/Sharedaction?code=ac4b2d77-8146-44b8-9c3d-08dd91d533ab,一键切换搜索引擎，无需重新输入内容，完美替代油猴脚本或浏览器插件,Google Chrome,流亡大街,https://getquicker.net/User/977787/%E6%B5%81%E4%BA%A1%E5%A4%A7%E8%A1%97,78.7 KB,2025-05-13 20:26,9,"权限
需要自己修改的别更新了",2026-05-16
Everything,https://getquicker.net/Sharedaction?code=f105e8a5-1fa4-4689-8ca2-08dda3deac8a,发送 Everything 常用语和快捷键，极致搜索，面板自动吸附，自定义程度高,通用,流亡大街,https://getquicker.net/User/977787/%E6%B5%81%E4%BA%A1%E5%A4%A7%E8%A1%97,125.6 KB,2025-06-06 09:38,10,"权限
需要自己修改的别更新了",2026-05-16
