动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
千问ocr,https://getquicker.net/Sharedaction?code=6b4370b6-686f-4b47-60ae-08de6601dc47,调用千问ocr进行文本识别,通用,困困君,https://getquicker.net/User/743590/%E5%9B%B0%E5%9B%B0%E5%90%9B,9.5 KB,2026-02-07 19:16,0,,2026-02-08
文件整理->文件夹,https://getquicker.net/Sharedaction?code=8456bc6e-0380-4cf5-608b-08de6601dc47,获取根目录子文件夹名字，或输入关键词，根据是否包含关键字整理根目录下文件到子文件夹,Windows 资源管理器,用户l4XG5wFHBQA,https://getquicker.net/User/1141848/%E7%94%A8%E6%88%B7l4XG5wFHBQA,13 KB,2026-02-07 15:27,0,,2026-02-08
示例：单按键操作,https://getquicker.net/Sharedaction?code=43e2b08f-0f89-4815-acc8-08de65127db3,单个按键触发操作模板,通用,星染浅夏,https://getquicker.net/User/1295122/%E6%98%9F%E6%9F%93%E6%B5%85%E5%A4%8F,12.5 KB,2026-02-07 12:08,1,更新了子程序名字,2026-02-08
插入页码,https://getquicker.net/Sharedaction?code=b3bc74e4-4f07-48dc-acc5-08de65127db3,"用于在 Word 中插入""第 X 页 共 Y 页""格式的页码",Microsoft Word,钟律师,https://getquicker.net/User/1287061/%E9%92%9F%E5%BE%8B%E5%B8%88,4.1 KB,2026-02-07 11:25,0,,2026-02-08
高级库,https://getquicker.net/Sharedaction?code=d3658b09-ee87-4aa4-acc4-08de65127db3,"根据相对路径，比如""文件夹名""自动Everything检索路径并打开",通用,李考凡,https://getquicker.net/User/478204/%E6%9D%8E%E8%80%83%E5%87%A1,21.6 KB,2026-02-07 11:02,4,⭐,2026-02-08
AI多语言翻译并替换,https://getquicker.net/Sharedaction?code=e1515753-5e22-4e79-8ed4-08dcaeb3ff7a,使用前请自行设置快捷键并配置相关API，使用方法：“聊天框输入中文，然后按下快捷键后自动替换英文”,通用,车站里的守望者,https://getquicker.net/User/140826/%E8%BD%A6%E7%AB%99%E9%87%8C%E7%9A%84%E5%AE%88%E6%9C%9B%E8%80%85,323.7 KB,2024-07-29 11:11,18,-更新了全新的设置UI,2026-02-08
文本处理,https://getquicker.net/Sharedaction?code=09986ec9-2bbb-4245-a884-08dcafa4e6df,60种处理/云板/Markdown渲染/Mermaid流程图/一键多AI对话/表格数据透视/Deepseek/对比/待办/搜索/前后缀手术刀,通用,李考凡,https://getquicker.net/User/478204/%E6%9D%8E%E8%80%83%E5%87%A1,57.1 KB,2024-07-30 20:09,101,⭐,2026-02-08
Portable,https://getquicker.net/Sharedaction?code=81ecee3b-ff96-42f3-0747-08dd9a5f05c7,便携软件自动化无感更新,通用,Poto,https://getquicker.net/User/137838/Poto,82.8 KB,2025-05-25 04:34,8,新增 当前检测到的压缩包名字提示,2026-02-08
AI-OCR识别,https://getquicker.net/Sharedaction?code=64f46959-63e3-43bc-1981-08dd32d69a62,使用大模型的多模态能力进行OCR识别,通用,车站里的守望者,https://getquicker.net/User/140826/%E8%BD%A6%E7%AB%99%E9%87%8C%E7%9A%84%E5%AE%88%E6%9C%9B%E8%80%85,151.5 KB,2025-01-13 13:40,10,"-更新了UI
-更新anthropic、gemini",2026-02-08
空格替换为下划线(正则化文件名),https://getquicker.net/Sharedaction?code=850a0304-a90b-4c42-dd6e-08de5f5d8364,将选中的目录下的文件名或者目录名中的空格替换为下划线和去掉中文标点符号,Windows 资源管理器,sithphil,https://getquicker.net/User/775422/sithphil,6.2 KB,2026-01-30 22:40,2,去掉路径中的去掉中文标点符号和增加日志输出,2026-02-08
