动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
表格提取,https://getquicker.net/Sharedaction?code=d49bef74-52d7-421d-98d4-08db324ac2a1,自动提取图片或者截图上的文字识别、表格识别、公式识别和PDF文档文字识别,通用,Qyu,https://getquicker.net/User/183510/Qyu,64.9 KB,2023-04-02 09:51,4,"1. 更新自动复制到md文档或者excel文档
2. 更改动作右键菜单风格",2024-02-13
原神连点,https://getquicker.net/Sharedaction?code=c85bcb5f-4bc3-4ae9-53f7-08db7fc04758,智能连点器，快速过剧情,yuanshen.exe,小豪l,https://getquicker.net/User/448566/%E5%B0%8F%E8%B1%AAl,137.8 KB,2023-07-10 00:00,38,可以不用停止动作，直接点击重启动作,2024-02-13
历史记录,https://getquicker.net/Sharedaction?code=aeec48b2-540c-4ba6-fe04-08db64cacbdf,浏览器历史记录总是莫名消失，想再查就很麻烦，于是做了这个，随时记录和查找，每日一次云备份防止记录丢失,Google Chrome,blanka,https://getquicker.net/User/667540/blanka,160.2 KB,2023-06-05 17:32,1,1,2024-02-13
