动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
密码本,https://getquicker.net/Sharedaction?code=0a16b6ad-1287-480b-2585-08ddbd2201ae,"方便管理烦多的密码，支持添加删除和修改以及排序, 支持自定义外观, 可云端备份恢复",通用,乐昂岚【接定制】,https://getquicker.net/User/81137/%E4%B9%90%E6%98%82%E5%B2%9A%E3%80%90%E6%8E%A5%E5%AE%9A%E5%88%B6%E3%80%91,77.9 KB,2025-07-08 14:24,2,1,2025-07-08
鱼鱼屏保,https://getquicker.net/Sharedaction?code=55f47ffc-7d8c-4abc-259a-08ddbd2201ae,一条闲鱼\n需要Python\n按Esc可退出,通用,sharklaka,https://getquicker.net/User/826879/sharklaka,7.2 KB,2025-07-08 17:51,0,,2025-07-08
智能翻页,https://getquicker.net/Sharedaction?code=90185771-5745-47d1-2598-08ddbd2201ae,浏览器翻上一页、下一页，兼容大部分网页。,Vivaldi,EC10010,https://getquicker.net/User/2997/EC10010,1.5 KB,2025-07-08 17:24,0,,2025-07-08
CAD降版本,https://getquicker.net/Sharedaction?code=b9e80551-10a9-4345-2596-08ddbd2201ae,调用exe，不用打开CAD，后台降版本,AutoCAD Application,冰雷木子,https://getquicker.net/User/749380/%E5%86%B0%E9%9B%B7%E6%9C%A8%E5%AD%90,10.2 KB,2025-07-08 17:17,0,,2025-07-08
缩放描边,https://getquicker.net/Sharedaction?code=247c1a8c-acf6-4c54-2595-08ddbd2201ae,"切换首选项中的 ""缩放描边和效果"" 开关。",Adobe Illustrator,Anlv,https://getquicker.net/User/392637/Anlv,4 KB,2025-07-08 17:02,0,,2025-07-08
QK论坛发帖邀请码,https://getquicker.net/Sharedaction?code=52339cda-b35d-45f8-257d-08ddbd2201ae,QK论坛发帖/编辑时自动填写自己的邀请码内容\n可手动运行或配合事件触发,通用,sharklaka,https://getquicker.net/User/826879/sharklaka,12.8 KB,2025-07-08 11:52,2,"[~]
修复邀请码透明的问题",2025-07-08
拆分文本,https://getquicker.net/Sharedaction?code=65ca9782-3dab-44c3-2592-08ddbd2201ae,支持行，字符，单词/句子，等三种拆分方法。,Adobe Illustrator,Anlv,https://getquicker.net/User/392637/Anlv,16.4 KB,2025-07-08 16:33,0,,2025-07-08
阿里云盘获取token,https://getquicker.net/Sharedaction?code=3633013e-b1de-4720-258a-08ddbd2201ae,阿里云盘获取token,通用,喵喵香子兰~,https://getquicker.net/User/489444/%E5%96%B5%E5%96%B5%E9%A6%99%E5%AD%90%E5%85%B0~,6.8 KB,2025-07-08 15:23,1,增加提示信息。,2025-07-08
发送微信好友（极速4.X）,https://getquicker.net/Sharedaction?code=4b4835e3-6d71-49b4-2589-08ddbd2201ae,4.X微信版本用！速度飞快发送文字/文件给某个好友,WeChat,eminstan,https://getquicker.net/User/430864/eminstan,33.7 KB,2025-07-08 15:17,0,,2025-07-08
示例:多步骤输入生成器,https://getquicker.net/Sharedaction?code=458c4de0-87aa-4c76-257e-08ddbd2201ae,示例子程序【多步骤输入生成器】在用户输入窗口、多字段表单和文本窗口中的应用。,通用,饺子吖,https://getquicker.net/User/1261670/%E9%A5%BA%E5%AD%90%E5%90%96,8.1 KB,2025-07-08 13:36,1,.,2025-07-08
文件打包到文件夹,https://getquicker.net/Sharedaction?code=4c3d56e7-0064-411c-2581-08ddbd2201ae,把选中的文件放入要新建的文件夹里面,Windows 资源管理器,滚筒洗亿机,https://getquicker.net/User/1138268/%E6%BB%9A%E7%AD%92%E6%B4%97%E4%BA%BF%E6%9C%BA,7 KB,2025-07-08 13:53,0,,2025-07-08
水平分布间距,https://getquicker.net/Sharedaction?code=7016474f-0965-4b68-2580-08ddbd2201ae,脚本内容使用deepseek生成，感谢开源社区,Adobe Illustrator,FrankOoO,https://getquicker.net/User/804834/FrankOoO,3.2 KB,2025-07-08 13:46,0,,2025-07-08
垂直分布间距,https://getquicker.net/Sharedaction?code=45465d08-1568-42af-257f-08ddbd2201ae,脚本内容使用deepseek生成，感谢开源社区,Adobe Illustrator,FrankOoO,https://getquicker.net/User/804834/FrankOoO,2 KB,2025-07-08 13:46,0,,2025-07-08
示例：剪贴板图文混排,https://getquicker.net/Sharedaction?code=687f1b58-3109-42b6-2569-08ddbd2201ae,1,通用,sharklaka,https://getquicker.net/User/826879/sharklaka,20.8 KB,2025-07-08 09:58,0,,2025-07-08
示例：剪贴板同时写入文本和图片,https://getquicker.net/Sharedaction?code=bf49e01b-40e0-4234-2568-08ddbd2201ae,在支持粘贴图片的窗口粘贴即为图片（比如QQ），否则粘贴出来是文本（比如记事本）,通用,sharklaka,https://getquicker.net/User/826879/sharklaka,20 KB,2025-07-08 09:42,0,,2025-07-08
快选快切_do文件读入,https://getquicker.net/Sharedaction?code=3421ce49-55ec-4e62-2564-08ddbd2201ae,用于获取do的智能收藏夹之类的路径，用来供快选快切使用,通用,chrosic,https://getquicker.net/User/945817/chrosic,6.2 KB,2025-07-08 07:32,2,~.修改图标颜色,2025-07-08
