动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
清除空目录,https://getquicker.net/Sharedaction?code=fa41a197-7448-4fb6-dd43-08de5f5d8364,清除当前窗口/选中文件夹内的所有空目录。,Windows 资源管理器,Anlv,https://getquicker.net/User/392637/Anlv,18.9 KB,2026-01-30 10:16,1,"2026-01-30
~. 修复已知问题。",2026-01-31
字频,https://getquicker.net/Sharedaction?code=8aba7a39-85d1-44d7-dd3c-08de5f5d8364,常用字字频生成，500。1500，3500，5000 常用字,通用,Poto,https://getquicker.net/User/137838/Poto,17 KB,2026-01-30 01:40,0,,2026-01-31
批量截图ocr重命名,https://getquicker.net/Sharedaction?code=3ecc6491-8c0d-429f-e3a4-08de5e765ac6,批量图片截取同一区域识别文字并重命名,Windows 资源管理器,liang54264,https://getquicker.net/User/259720/liang54264,32.2 KB,2026-01-29 21:56,0,,2026-01-31
定位粘贴,https://getquicker.net/Sharedaction?code=8b0d3ca4-f22f-41f9-e39e-08de5e765ac6,将选中的文本或图片便携地发送到对应网站或者本地程序,通用,用户YL_2WpSnBAA,https://getquicker.net/User/1009922/%E7%94%A8%E6%88%B7YL_2WpSnBAA,30.3 KB,2026-01-29 17:34,0,,2026-01-31
跨屏复制,https://getquicker.net/Sharedaction?code=6837c760-ed57-4cb7-e390-08de5e765ac6,两台电脑间的云剪贴板,通用,5element,https://getquicker.net/User/196982/5element,5.8 KB,2026-01-29 15:27,0,,2026-01-31
双击粘贴,https://getquicker.net/Sharedaction?code=42f91e2e-d177-4b77-e37f-08de5e765ac6,双击自动粘贴,通用,Poto,https://getquicker.net/User/137838/Poto,39.7 KB,2026-01-29 14:06,0,,2026-01-31
双击复制,https://getquicker.net/Sharedaction?code=075c96d7-1935-4c58-e37e-08de5e765ac6,选中文本双击复制，没选中文本双击粘贴,通用,Poto,https://getquicker.net/User/137838/Poto,39.2 KB,2026-01-29 14:00,1,支持 选中文本后自动发哇了,2026-01-31
反回车,https://getquicker.net/Sharedaction?code=a90181e8-851d-492f-e37b-08de5e765ac6,向上插入新行,通用,Poto,https://getquicker.net/User/137838/Poto,2.6 KB,2026-01-29 12:48,2,1,2026-01-31
换行大师,https://getquicker.net/Sharedaction?code=21273ed9-160f-4068-e370-08de5e765ac6,跳出换行，跳出分号换行。开发如虎添翼,通用,Poto,https://getquicker.net/User/137838/Poto,4.8 KB,2026-01-29 10:58,1,支持 反回车,2026-01-31
万年历,https://getquicker.net/Sharedaction?code=4446c60b-fb7a-432f-e376-08de5e765ac6,万年历查询，数据来源 吖日历：https://www.yarili.com/,通用,芬弘瑟の慧怡,https://getquicker.net/User/647731/%E8%8A%AC%E5%BC%98%E7%91%9F%E3%81%AE%E6%85%A7%E6%80%A1,2.3 KB,2026-01-29 11:39,1,添加基本信息,2026-01-31
智慧菜单,https://getquicker.net/Sharedaction?code=3570304f-80f0-42ee-321c-08daf053a987,最好用的快捷菜单💗根据不同场景弹出不同的菜单，高度自定义！现已支持指定程序、网址、选中文本、选中文件场景，右键有完善的配置菜单流程。,通用,韩道友,https://getquicker.net/User/684393/%E9%9F%A9%E9%81%93%E5%8F%8B,370 KB,2023-01-07 19:44,75,~修复不能添加菜单的问题。,2026-01-31
Quicker聊天室,https://getquicker.net/Sharedaction?code=c5b3928a-c068-4d0c-44b9-08db6b278c19,"一个基于quicker的在线聊天工具,支持发送截图",乐昂岚,乐昂岚,https://getquicker.net/User/81137/%E4%B9%90%E6%98%82%E5%B2%9A,158.4 KB,2023-06-13 16:55,37,1,2026-01-31
缴费清单助手,https://getquicker.net/Sharedaction?code=d494daa9-6f2b-49bf-f224-08dd49a56539,一键填写专利缴费清单信息表单,通用,知产二大爷,https://getquicker.net/User/565334/%E7%9F%A5%E4%BA%A7%E4%BA%8C%E5%A4%A7%E7%88%B7,85.4 KB,2025-02-11 14:36,21,调整细节,2026-01-31
灵犀悬浮,https://getquicker.net/Sharedaction?code=9f346787-7e19-466f-c185-08dd0ebad0d8,将选中的文本、文件悬浮，一键快速复制粘贴。,通用,知产二大爷,https://getquicker.net/User/565334/%E7%9F%A5%E4%BA%A7%E4%BA%8C%E5%A4%A7%E7%88%B7,103.3 KB,2024-11-27 16:20,68,调整细节,2026-01-31
北京录屏,https://getquicker.net/Sharedaction?code=7c61bff4-def0-4e25-f929-08de3ca88ddf,【屏幕录制】极简 · 高能 · 仿PixPin录屏交互体验,通用,北京林或西,https://getquicker.net/User/207095/%E5%8C%97%E4%BA%AC%E6%9E%97%E6%88%96%E8%A5%BF,126.3 KB,2025-12-17 10:04,37,修复一些已知的问题。,2026-01-31
PS插件,https://getquicker.net/Sharedaction?code=9b034ce1-846b-472e-ed18-08de36f81a8a,PS常用插件快速安装。,Adobe Photoshop,Ray-CD,https://getquicker.net/User/191353/Ray-CD,88.2 KB,2025-12-09 15:58,3,增加一个插件mobGlow v1.0.1中文版 发光插件,2026-01-31
微信多开,https://getquicker.net/Sharedaction?code=d7210ac3-4943-4b6e-dc9b-08ddce3fb347,免设置、免退出、排列整齐，微信多开从未如此简单,通用,Taitun,https://getquicker.net/User/854987/Taitun,65.3 KB,2025-07-29 09:31,10,优化右键设置表单细节。,2026-01-31
置顶,https://getquicker.net/Sharedaction?code=28fc0d60-ec69-4458-e96a-08ddb7775a51,置顶状态一眼识别，边框高亮更直观！,通用,Taitun,https://getquicker.net/User/854987/Taitun,64.8 KB,2025-06-30 09:44,21,优化动作部分步骤细节。,2026-01-31
任务清单-日历版,https://getquicker.net/Sharedaction?code=d50315c7-ef6e-40d6-993a-08dd95a58a82,✅超级好用的日历+✅任务清单+✅可替换系统万年历,通用,✅好用✅实用✅易用,https://getquicker.net/User/412766/%E2%9C%85%E5%A5%BD%E7%94%A8%E2%9C%85%E5%AE%9E%E7%94%A8%E2%9C%85%E6%98%93%E7%94%A8,283.5 KB,2025-05-19 09:05,35,"修复设置的分类弹窗
去掉节假日颜色设置页，没必要的，精简掉
",2026-01-31
发送到,https://getquicker.net/Sharedaction?code=acaffd04-51df-49a8-630b-08de4f2d7477,快捷将剪贴板内容发送至钉钉、微信等对应联系人或群组,通用,Neurogram,https://getquicker.net/User/838/Neurogram,82.1 KB,2026-01-09 14:58,16,"- 优化微信报错提示
- 教程增加开启微信读屏优化模式",2026-01-31
搜索,https://getquicker.net/Sharedaction?code=7ec95694-29e4-4739-8355-08d94406436b,简单好用的网页搜索引擎聚合,通用,咿呀杀杀,https://getquicker.net/User/19337/%E5%92%BF%E5%91%80%E6%9D%80%E6%9D%80,229.3 KB,2021-07-12 02:31,27,"- 修复莫名强出“复制提示”的问题
- 尝试修复空白引擎的问题",2026-01-31
灵犀收藏夹,https://getquicker.net/Sharedaction?code=64881dc8-975a-4f73-a962-08dd29565fc9,"保存常用信息,便于查询及快速粘贴。",通用,知产二大爷,https://getquicker.net/User/565334/%E7%9F%A5%E4%BA%A7%E4%BA%8C%E5%A4%A7%E7%88%B7,36.5 KB,2024-12-31 16:33,26,修复英文;无法识别的bug,2026-01-31
专利快查,https://getquicker.net/Sharedaction?code=1ab39a56-24e5-404c-306b-08dcfbc8d3fa,快速查询专利信息。,通用,知产二大爷,https://getquicker.net/User/565334/%E7%9F%A5%E4%BA%A7%E4%BA%8C%E5%A4%A7%E7%88%B7,374.5 KB,2024-11-04 14:16,123,修复费减成功后不自动删除的bug,2026-01-31
无限轮盘,https://getquicker.net/Sharedaction?code=5677315c-f4ca-48d5-b111-08de5c82f231,所有进程都可单独设置的无限翻页轮盘,通用,冰雷木子,https://getquicker.net/User/749380/%E5%86%B0%E9%9B%B7%E6%9C%A8%E5%AD%90,135.9 KB,2026-01-26 23:55,11,"1.修复快捷键触发方式，改为子程序
2.增加皮肤不透明度
3.修复不同电脑下dpi的轮盘大小
4.保存设置的时候，自动删除空轮盘进程",2026-01-31
PS快捷导出助手2.0,https://getquicker.net/Sharedaction?code=d1f40a07-9815-40e6-0bc2-08dd8eff6b2a,无弹窗静默导出图片，支持图层，选区，批量导出等多种功能等你探索,Adobe Photoshop,芬达不加班,https://getquicker.net/User/1184478/%E8%8A%AC%E8%BE%BE%E4%B8%8D%E5%8A%A0%E7%8F%AD,80.9 KB,2025-05-10 16:15,4,"更新之后需要手动删除动作数据，因为重构了部分变量名
1.重构了单个导出和批量导出代码结构
	.导出流畅性有所提升了
	.添加了导出耗时时间的显示
2.新增了两个导出的自定义路径
	.保存到桌面路径
	.自定义目录路径
3.新增了子文件夹模式
	.子文件夹模式开关,开启会生成一个文件夹 (可以自已定义名字)
4.新增了两个文件名字
	.选中图层名字
	.自定义的文件名
5.新增了自动编号模式（防止图片覆盖）
	.文件名+编号(_1._2,_3,_4)(编号有缺失会补缺)
详细说明请前往网页查看",2026-01-31
定位切换,https://getquicker.net/Sharedaction?code=cbe9e5f8-58c0-4c0d-bcc0-08de5d774a2d,选中窗口后优雅而快捷地在不同窗口切换,通用,用户YL_2WpSnBAA,https://getquicker.net/User/1009922/%E7%94%A8%E6%88%B7YL_2WpSnBAA,21.2 KB,2026-01-27 20:17,2,修正了默认值的问题,2026-01-31
多功能面板,https://getquicker.net/Sharedaction?code=58d4cba4-28b7-4c0b-b9b5-08de37f0ba43,可添加网址、程序、动作、命令等到面板,通用,Simonl,https://getquicker.net/User/134191/Simonl,339 KB,2025-12-11 12:18,37,优化录入快捷键逻辑,2026-01-31
路径流转,https://getquicker.net/Sharedaction?code=8f8bb8da-ecff-4d50-5d44-08de28b8009b,当前路径流转在资源管理器、Directory Opus、Total Commander,通用,Poto,https://getquicker.net/User/137838/Poto,70.3 KB,2025-11-21 23:14,4,优化,2026-01-31
企业查询(天眼查)V2,https://getquicker.net/Sharedaction?code=36dc788d-11e5-4001-76ff-08dc5df52912,企业查询的升级版本，采用无头浏览器技术，使用之前，务必详细阅读使用说明,通用,SoloShine/Field,https://getquicker.net/User/402701/SoloShine_Field,54.1 KB,2024-04-17 17:50,3,添加企业状态，如“存续”、“注销”等；,2026-01-31
企业查询,https://getquicker.net/Sharedaction?code=f9963209-c56c-48b5-c379-08db2ab3ed80,调用天眼查接口进行企业查询（by field）,通用,SoloShine/Field,https://getquicker.net/User/402701/SoloShine_Field,33.9 KB,2023-03-23 16:44,5,添加企业状态，如“存续”、“注销”等,2026-01-31
Quicker截图,https://getquicker.net/Sharedaction?code=da383e8b-579a-4a2b-0c31-08de4a7531cf,致敬HDG的QShot截图，极简、纯粹的Quicker截图体验。,通用,北京林或西,https://getquicker.net/User/207095/%E5%8C%97%E4%BA%AC%E6%9E%97%E6%88%96%E8%A5%BF,125.9 KB,2026-01-04 13:58,17,"更新说明：
1、新增Quicker扩展配置，支持传递图片参数与其他动作配合。
2、新增鼠标中间快速贴图。
3、修复贴图不带标注的bug。
4、又换了动作图标。",2026-01-31
Word批量替换,https://getquicker.net/Sharedaction?code=ff6eb8cf-39fa-4e28-b118-08de5c82f231,无需打开Word，批量替换Word内容,通用,知产二大爷,https://getquicker.net/User/565334/%E7%9F%A5%E4%BA%A7%E4%BA%8C%E5%A4%A7%E7%88%B7,46 KB,2026-01-27 10:34,15,调整细节,2026-01-31
FF工具箱,https://getquicker.net/Sharedaction?code=18e08b9b-7ac6-4708-dcb3-08de3bb54158,基于 FFmpeg 的批量视频处理工具。,通用,Anlv,https://getquicker.net/User/392637/Anlv,39.7 KB,2025-12-16 14:21,2,"2026-01-29
~. 更名为FF工具箱，集成一些FFmpeg的功能。",2026-01-31
批量设置封面,https://getquicker.net/Sharedaction?code=c68dd01d-78ab-401e-f949-08de3ca88ddf,批量自定义素材封面,Billfish,康纳斯,https://getquicker.net/User/515520/%E5%BA%B7%E7%BA%B3%E6%96%AF,21.3 KB,2025-12-17 15:22,4,优化功能,2026-01-31
超级卡片,https://getquicker.net/Sharedaction?code=fee759cb-8cfc-4666-fbf7-08ddee84b295,构建个人的“知识卡片”网络，系统性地管理知识、深化理解并激发创新,通用,Taitun,https://getquicker.net/User/854987/Taitun,157.5 KB,2025-09-09 09:50,5,1.优化窗口右键菜单细节。,2026-01-31
常用语,https://getquicker.net/Sharedaction?code=c4f171c4-91ff-4bee-992f-08de3dcbce5c,让常用语管理，从此变得简单优雅！,通用,Taitun,https://getquicker.net/User/854987/Taitun,237.4 KB,2025-12-18 09:53,17,1.优化列表右键菜单细节。,2026-01-31
Ai重命名,https://getquicker.net/Sharedaction?code=12e9be8c-937a-40f3-7aa4-08de57cf17ab,集 Ai 重命名、拖拽排序、实时预览、图片预览、多规则联动、一键恢复于一体,通用,Taitun,https://getquicker.net/User/854987/Taitun,404.7 KB,2026-01-21 10:01,9,1.新增目标文档已打开/被占用时弹窗提示。,2026-01-31
AI三连窗,https://getquicker.net/Sharedaction?code=64e3c18f-93da-4601-30c3-08dd46c83758,一个界面打开三个不同的AI模型，免费且无需API,通用,希望明天是个好天气,https://getquicker.net/User/234406/%E5%B8%8C%E6%9C%9B%E6%98%8E%E5%A4%A9%E6%98%AF%E4%B8%AA%E5%A5%BD%E5%A4%A9%E6%B0%94,26.2 KB,2025-02-07 23:04,11,修bug,2026-01-31
