动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
本地动作查重,https://getquicker.net/Sharedaction?code=8a6a1ae2-8f4b-478b-b37e-08dd2ffaad7e,检索本地重复安装的动作，并用表格显示出来,Quicker,H-D-G,https://getquicker.net/User/679811/H-D-G,30.3 KB,2025-01-09 22:27,0,,2025-01-10
中止/重启动作,https://getquicker.net/Sharedaction?code=d513c900-8f31-4ba8-3133-08dd0af731a9,有些动作经常运行，但又可能需要偶尔关闭，一个一个关闭，太麻烦了，就做了这个一键关闭，需要时又可以重启常用动作,通用,【推荐】该动作用户少，但用量大,https://getquicker.net/User/412766/%E3%80%90%E6%8E%A8%E8%8D%90%E3%80%91%E8%AF%A5%E5%8A%A8%E4%BD%9C%E7%94%A8%E6%88%B7%E5%B0%91%EF%BC%8C%E4%BD%86%E7%94%A8%E9%87%8F%E5%A4%A7,16.9 KB,2024-11-23 23:41,2,有时不需要全部关闭，那么变为可选择哪些中止/重启,2025-01-10
网址绑定,https://getquicker.net/Sharedaction?code=6b43e687-1918-4a9c-f1bd-08dd17617d76,绑定唯一确定的网址，如果当前浏览器已经打开该网址，则切换；否则，打开,Google Chrome,Kenhalid,https://getquicker.net/User/977787/Kenhalid,33.6 KB,2024-12-08 22:09,5,~,2025-01-10
工作流,https://getquicker.net/Sharedaction?code=d02bff82-0654-49dc-f232-08dd2a577f35,一次性打开常用的文件、软件、网址、动作、贴图，支持无限分组,通用,Kenhalid,https://getquicker.net/User/977787/Kenhalid,197.2 KB,2025-01-02 12:16,15,"~ 修复添加时新建组出现的 BUG
PS：这些 BUG 都是重构的过程中，因为个人一时疏忽造成的，如果发现请及时反馈",2025-01-10
软件便签,https://getquicker.net/Sharedaction?code=05eb8227-4f24-464a-a71d-08dd2875ceca,以文本窗口的形式展示『前台进程』对应的『便签内容』，内置了超丰富的文本编辑工具栏，而且〖每个程序〗都支持自定义外观主题（语法高亮、字体大小、背景颜色等），数据自动云备份-无感保存 (◕‿◕)✧,通用,『扪』,https://getquicker.net/User/432041/%E3%80%8E%E6%89%AA%E3%80%8F,439.3 KB,2024-12-31 10:30,13,  【优化】优化动作启动速度~,2025-01-10
PDF电子发票更名,https://getquicker.net/Sharedaction?code=81918ecd-8aa1-4149-b376-08dd2ffaad7e,提取全电发票PDF的txt信息，正则提取号码金额等信息后重命名。,通用,xialock_,https://getquicker.net/User/1143106/xialock_,31.8 KB,2025-01-09 19:05,0,,2025-01-10
巴德文本查找输出,https://getquicker.net/Sharedaction?code=b593deb7-887d-4827-c6f1-08dc1baf171d,查找文件中的某字符串所在行，并将其输出到新文件中。,通用,Bader,https://getquicker.net/User/135289/Bader,38.1 KB,2024-01-23 16:45,16,1. 增加查看核心命令的功能,2025-01-10
强粘贴,https://getquicker.net/Sharedaction?code=bb4bcea9-7f6f-4578-8e85-08dc6685e603,用于只允许手动录入，不能粘贴的场景<支持多行>,远程桌面连接,VictorTop,https://getquicker.net/User/1028379/VictorTop,10.7 KB,2024-04-28 16:04,2,可设置末尾是否换行,2025-01-10
微信,https://getquicker.net/Sharedaction?code=6a004b62-33a5-47d1-b371-08dd2ffaad7e,打开微信窗口或隐藏,通用,希望明天是个好天气,https://getquicker.net/User/234406/%E5%B8%8C%E6%9C%9B%E6%98%8E%E5%A4%A9%E6%98%AF%E4%B8%AA%E5%A5%BD%E5%A4%A9%E6%B0%94,6.8 KB,2025-01-09 17:46,0,,2025-01-10
斗转星移,https://getquicker.net/Sharedaction?code=aa26692f-22da-46fb-0313-08dd1df9631b,Quicker2.0之窗口切换利器。,通用,大家都爱591,https://getquicker.net/User/36130/%E5%A4%A7%E5%AE%B6%E9%83%BD%E7%88%B1591,147.1 KB,2024-12-17 14:31,10,.,2025-01-10
DeepLX,https://getquicker.net/Sharedaction?code=c55325a6-3af1-4a11-bf4d-08dc12372202,Translator 配套动作  支持DeepLX，使用前请现在右键-设置菜单中配置deepLx的api,通用,车站里的守望者,https://getquicker.net/User/140826/%E8%BD%A6%E7%AB%99%E9%87%8C%E7%9A%84%E5%AE%88%E6%9C%9B%E8%80%85,15.6 KB,2024-01-11 11:53,7,增加了自动重试，因网络条件或其他问题导致请求失败会自动重试,2025-01-10
OCR识别自动贴图,https://getquicker.net/Sharedaction?code=939e426f-802a-4ca7-eb91-08dc84f6bb0e,调用quikcer的OCR，速度快，精准，自动贴图对照,通用,MarsJack,https://getquicker.net/User/178545/MarsJack,25.9 KB,2024-06-05 08:30,10,测试,2025-01-10
EXCEL,https://getquicker.net/Sharedaction?code=cc58e4f1-0e41-4ba8-b35f-08dd2ffaad7e,窗口切换到EXCEL,通用,希望明天是个好天气,https://getquicker.net/User/234406/%E5%B8%8C%E6%9C%9B%E6%98%8E%E5%A4%A9%E6%98%AF%E4%B8%AA%E5%A5%BD%E5%A4%A9%E6%B0%94,5.7 KB,2025-01-09 13:42,1,去除错误,2025-01-10
计算器,https://getquicker.net/Sharedaction?code=1ae2f763-3fa6-447f-91d7-08dc79843f34,界面清爽直观，实时计算，高效便捷，功能强大，支持语音和历史记录功能，极速流畅的计算体验。,通用,MarsJack,https://getquicker.net/User/178545/MarsJack,389.9 KB,2024-05-22 14:21,213,尝试修复下载1,2025-01-10
专利快查,https://getquicker.net/Sharedaction?code=1ab39a56-24e5-404c-306b-08dcfbc8d3fa,快速查询专利信息。,通用,知产二大爷,https://getquicker.net/User/565334/%E7%9F%A5%E4%BA%A7%E4%BA%8C%E5%A4%A7%E7%88%B7,228.9 KB,2024-11-04 14:16,71,调整代理机构查询逻辑,2025-01-10
WPS,https://getquicker.net/Sharedaction?code=b7cdac43-cecb-4913-b35e-08dd2ffaad7e,窗口切换到WPS,通用,希望明天是个好天气,https://getquicker.net/User/234406/%E5%B8%8C%E6%9C%9B%E6%98%8E%E5%A4%A9%E6%98%AF%E4%B8%AA%E5%A5%BD%E5%A4%A9%E6%B0%94,6.7 KB,2025-01-09 13:19,0,,2025-01-10
Microsoft Edge,https://getquicker.net/Sharedaction?code=79a6762c-248c-4bf3-b35d-08dd2ffaad7e,切换到Edge浏览器如果打开了不会打开新的Edge窗口,通用,希望明天是个好天气,https://getquicker.net/User/234406/%E5%B8%8C%E6%9C%9B%E6%98%8E%E5%A4%A9%E6%98%AF%E4%B8%AA%E5%A5%BD%E5%A4%A9%E6%B0%94,4.7 KB,2025-01-09 13:10,0,,2025-01-10
画箭头,https://getquicker.net/Sharedaction?code=df403457-5121-4fa6-b35c-08dd2ffaad7e,仅用于快速调出 WPS excel-插入-形状 里的箭头,WPS Spreadsheets,Ssf投诉热线,https://getquicker.net/User/168845/Ssf%E6%8A%95%E8%AF%89%E7%83%AD%E7%BA%BF,3.2 KB,2025-01-09 13:10,0,,2025-01-10
截图识别,https://getquicker.net/Sharedaction?code=0e89ae52-7dcf-446a-a133-08dc6ffecc18,丝滑切12种识别模式/百度/PixPin/OCR后60种文本处理联动功能,通用,李考凡,https://getquicker.net/User/478204/%E6%9D%8E%E8%80%83%E5%87%A1,191.3 KB,2024-05-09 20:07,120,右键新增识别历史(保留500行),2025-01-10
搜神,https://getquicker.net/Sharedaction?code=8f368e85-5f6a-465d-a5b2-08dbd1e78f40,全能版网络搜索神器/让quicker搜索超级增强/AI对话,通用,李考凡,https://getquicker.net/User/478204/%E6%9D%8E%E8%80%83%E5%87%A1,345.3 KB,2023-10-22 15:24,270,翻译右键支持AI翻译,2025-01-10
文本处理,https://getquicker.net/Sharedaction?code=09986ec9-2bbb-4245-a884-08dcafa4e6df,60种文本处理/简单好用的文本处理窗口/记事本,通用,李考凡,https://getquicker.net/User/478204/%E6%9D%8E%E8%80%83%E5%87%A1,21.4 KB,2024-07-30 20:09,42,新增日期差计算,2025-01-10
遇见心动,https://getquicker.net/Sharedaction?code=bdf13a42-0254-41a1-0dca-08db9d470fb9,养眼、养眼、视觉享受!,通用,┗飞翔╯╗,https://getquicker.net/User/285810/%E2%94%97%E9%A3%9E%E7%BF%94%E2%95%AF%E2%95%97,29.2 KB,2023-08-15 18:58,4,"1.添加图片类别选择（风景、动漫、妹子）
2.切换默认的类型点击右键选择",2025-01-10
Qubick,https://getquicker.net/Sharedaction?code=1c45b688-9869-4f98-b34f-08dd2ffaad7e,使用HTML+CSS+JS复刻的Quicker动作编辑器，期望后续可以替代各种繁杂的workflow，成为新一代的低代码神器 开源地址 https://github.com/lizhemin15/Qubick-Editor,通用,抄书侠(GM),https://getquicker.net/User/206328/%E6%8A%84%E4%B9%A6%E4%BE%A0(GM),87.3 KB,2025-01-09 10:09,0,,2025-01-10
巴德WDM助手,https://getquicker.net/Sharedaction?code=fcd79bb8-80b7-47d8-b34a-08dd2ffaad7e,快速生成选中元素的Web Data Monitor监控脚本,通用,Bader,https://getquicker.net/User/135289/Bader,7.1 KB,2025-01-08 23:39,1,1. 导入脚本标题更改为网页标题,2025-01-10
巴德INPUT,https://getquicker.net/Sharedaction?code=47c7bc95-4e9c-4d8e-6b6b-08dd2c628548,将剪贴板中的文本模拟按键输入,通用,Bader,https://getquicker.net/User/135289/Bader,3 KB,2025-01-04 15:44,1,1. 增加编辑模式,2025-01-10
发送新闻到微信,https://getquicker.net/Sharedaction?code=b0f4a9d7-e2c7-4738-6955-08dcdd0ca208,自动摘取每天新闻，可自动发送给微信指定对象,WeChat,sharklaka,https://getquicker.net/User/826879/sharklaka,35.7 KB,2024-09-25 14:31,7,修复,2025-01-10
倒计时,https://getquicker.net/Sharedaction?code=caa7b577-6620-41b0-6533-08dd2d2189e8,快速倒计时,通用,困困君,https://getquicker.net/User/743590/%E5%9B%B0%E5%9B%B0%E5%90%9B,26.1 KB,2025-01-05 20:54,16,1,2025-01-10
弹出超级菜单,https://getquicker.net/Sharedaction?code=362ef925-6343-4ab6-e9f8-08db92f9f222,不同程序，弹出不同菜单【使用者少，但是用量大，说明该方式易用好用。】,通用,【推荐】该动作用户少，但用量大,https://getquicker.net/User/412766/%E3%80%90%E6%8E%A8%E8%8D%90%E3%80%91%E8%AF%A5%E5%8A%A8%E4%BD%9C%E7%94%A8%E6%88%B7%E5%B0%91%EF%BC%8C%E4%BD%86%E7%94%A8%E9%87%8F%E5%A4%A7,190.6 KB,2023-08-02 15:35,62,增加首次判断：比如更换了电脑，第一次打开时，会自动同步之前的数据,2025-01-10
智谱大模型beta.1,https://getquicker.net/Sharedaction?code=c56dba17-5e56-44c5-7eb3-08dd23adddae,支持大模型多轮对话AI接口调用/不支持流式传输,通用,Ulookperfect...,https://getquicker.net/User/675682/Ulookperfecttonight,33.9 KB,2024-12-24 17:57,8,"关闭流式传输，流式传输速度很慢。
更新多个可调整参数
实现多轮对话",2025-01-10
格式刷,https://getquicker.net/Sharedaction?code=d0d1e19e-3563-49ff-b34e-08dd2ffaad7e,Word格式刷。官方建议的快捷键方式。,Microsoft Word,大家都爱591,https://getquicker.net/User/36130/%E5%A4%A7%E5%AE%B6%E9%83%BD%E7%88%B1591,2.6 KB,2025-01-09 09:01,0,,2025-01-10
文本内容搜索,https://getquicker.net/Sharedaction?code=7d071a43-36ff-4885-ef81-08dcf6a4acc1,使用Anytxt搜索文件内容,通用,轻叹流年去,https://getquicker.net/User/686001/%E8%BD%BB%E5%8F%B9%E6%B5%81%E5%B9%B4%E5%8E%BB,14.5 KB,2024-10-28 14:16,5,fix bug,2025-01-10
琅环福地,https://getquicker.net/Sharedaction?code=4d92e061-7af7-4491-30ac-08dd2f05b402,Quicker2.0之资源管理大师。,通用,大家都爱591,https://getquicker.net/User/36130/%E5%A4%A7%E5%AE%B6%E9%83%BD%E7%88%B1591,110.2 KB,2025-01-08 18:30,6,.,2025-01-10
