动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
ChatWindow,https://getquicker.net/Sharedaction?code=2ff0b580-b757-4716-5a83-08dbfdbb1fb8,一个简单易用的AI动作，让前沿的人工智能技术变成易于使用的生产力工具,通用,H-D-G,https://getquicker.net/User/679811/H-D-G,103.3 KB,2023-12-16 20:13,27,"~ 优化【重新生成】的内部逻辑（主要是关于历史上下文的，请求时去除原来AI的回复，以免再次对AI回复造成误导）
~ 优化提示，在一些地方添加必要的提示，引导新用户熟悉动作操作",2024-01-27
PS动作批处理,https://getquicker.net/Sharedaction?code=85ec1b69-3ce0-46a7-3704-08dc0a239220,调用Photoshop的动作对选中的图片文件进行批处理保存。,Adobe Photoshop,ZTOA10,https://getquicker.net/User/234516/ZTOA10,24.5 KB,2024-01-01 16:07,1,"简化无用步骤和代码
修复预设为空时出现的bug",2024-01-27
诺亚2.0,https://getquicker.net/Sharedaction?code=b6a753a2-8405-4fd8-ad4c-08dbb89e3001,判断场景，匹配场景动作。,通用,北京林或西,https://getquicker.net/User/207095/%E5%8C%97%E4%BA%AC%E6%9E%97%E6%88%96%E8%A5%BF,28 KB,2023-09-19 21:04,10,2024年1月26日15:16:57,2024-01-27
显示托盘,https://getquicker.net/Sharedaction?code=8e075cd4-6f7a-4c26-5639-08d9eec3922c,显示并移动系统托盘至光标处,通用,dalou,https://getquicker.net/User/76824/dalou,40.5 KB,2022-02-14 19:03,8,-,2024-01-27
文件夹标记备注,https://getquicker.net/Sharedaction?code=e8567089-db7b-463c-db38-08dc1d7b23f0,对文件夹标记栏和备注栏进行定义，默认每栏可定义四项,Windows 资源管理器,冰雷木子,https://getquicker.net/User/749380/%E5%86%B0%E9%9B%B7%E6%9C%A8%E5%AD%90,214.2 KB,2024-01-25 22:16,2,表单值默认为四行回车，避免不够四行报错,2024-01-27
主图导导,https://getquicker.net/Sharedaction?code=c0b020b8-4768-4c07-3b7d-08dba051db5b,导导，不生产主图，我是主图的搬运工。,Adobe Photoshop,北京林或西,https://getquicker.net/User/207095/%E5%8C%97%E4%BA%AC%E6%9E%97%E6%88%96%E8%A5%BF,38.8 KB,2023-08-19 14:48,5,修复淘宝更新后导入主图的错误。,2024-01-27
PSCoke,https://getquicker.net/Sharedaction?code=333365f5-7d51-407d-f36d-08dbdac4c3da,多平台图片导入PS,Adobe Photoshop,北京林或西,https://getquicker.net/User/207095/%E5%8C%97%E4%BA%AC%E6%9E%97%E6%88%96%E8%A5%BF,115 KB,2023-11-02 12:40,28,修复淘宝更新后导入主图的错误。,2024-01-27
预估销量,https://getquicker.net/Sharedaction?code=bb1b6290-510a-4307-ebd6-08dc1c8bc2af,亚马逊 - 卖家精灵的销量预估,通用,公众号-酷玩安卓,https://getquicker.net/User/81137/%E5%85%AC%E4%BC%97%E5%8F%B7-%E9%85%B7%E7%8E%A9%E5%AE%89%E5%8D%93,82.3 KB,2024-01-24 17:31,4,小修一下,2024-01-27
插入引用,https://getquicker.net/Sharedaction?code=2b761521-8216-4442-3bdc-08d95984e346,一键插入Zotero文献，无需二次搜索,Zotero,ttChen,https://getquicker.net/User/395924/ttChen,31.7 KB,2021-08-07 22:24,14,修复AHK2更新导致的错误。,2024-01-27
