动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
中键轮盘,https://getquicker.net/Sharedaction?code=4e56a529-7213-4b2b-f931-08de3ca88ddf,鼠标中键手势触发的多层级轮盘菜单，支持内外双圈布局，悬停自动展开子菜单，让常用操作触手可及。,通用,洛洛罗,https://getquicker.net/User/325415/%E6%B4%9B%E6%B4%9B%E7%BD%97,168.2 KB,2025-12-17 11:33,4,优化UI展示,2025-12-19
北京录屏,https://getquicker.net/Sharedaction?code=7c61bff4-def0-4e25-f929-08de3ca88ddf,作者很懒，懒得写说明,通用,北京林或西,https://getquicker.net/User/207095/%E5%8C%97%E4%BA%AC%E6%9E%97%E6%88%96%E8%A5%BF,173.1 KB,2025-12-17 10:04,12,更新了个id,2025-12-19
常用语,https://getquicker.net/Sharedaction?code=c4f171c4-91ff-4bee-992f-08de3dcbce5c,让常用语管理，从此变得简单优雅！,通用,Taitun,https://getquicker.net/User/854987/Taitun,749.7 KB,2025-12-18 09:53,3,新增双击窗口空白地方关闭窗口。,2025-12-19
新文件夹,https://getquicker.net/Sharedaction?code=5d791c9c-eb1e-4f4c-9937-08de3dcbce5c,文件拖拽到新文件夹，在移动完成后激活重命名，使用C#模块。,Windows 资源管理器,Anlv,https://getquicker.net/User/392637/Anlv,34.7 KB,2025-12-18 11:57,0,,2025-12-19
复制SVG代码,https://getquicker.net/Sharedaction?code=6b1ba383-ba41-4f06-f961-08de3ca88ddf,AI里选中内容后运行动作，可复制svg代码，支持压缩svg，添加简单动画,Adobe Illustrator,星河城野❤,https://getquicker.net/User/388875/%E6%98%9F%E6%B2%B3%E5%9F%8E%E9%87%8E%E2%9D%A4,47.8 KB,2025-12-17 21:44,0,,2025-12-19
multipar,https://getquicker.net/Sharedaction?code=d42117df-72cf-445e-f960-08de3ca88ddf,创建PAR2恢复数据并且将其附加到各自的原始ZIP/7-Zip压缩文件,Windows 资源管理器,gdvjg,https://getquicker.net/User/311786/gdvjg,11.4 KB,2025-12-17 21:03,1,在设置里添加par2j路径,2025-12-19
示例：心理能量守恒,https://getquicker.net/Sharedaction?code=0cbfd51c-5543-4c28-f95f-08de3ca88ddf,抗拒，反而是一种强化：越想戒，越戒不掉。,通用,效率591,https://getquicker.net/User/36130/%E6%95%88%E7%8E%87591,21.1 KB,2025-12-17 20:25,0,,2025-12-19
图层过滤,https://getquicker.net/Sharedaction?code=8c2f1f44-f358-4b11-f933-08de3ca88ddf,在选择的图层中保留你想要的图层类型。,Adobe Photoshop,Anlv,https://getquicker.net/User/392637/Anlv,57.4 KB,2025-12-17 11:44,3,"2025-12-17
~. 更新图标，使用Photoshop原版图标，辨识度更好。",2025-12-19
计算器,https://getquicker.net/Sharedaction?code=7c39070f-cd4d-4b6d-f93d-08de3ca88ddf,简单的计算器,通用,流氓兔,https://getquicker.net/User/144013/%E6%B5%81%E6%B0%93%E5%85%94,19.5 KB,2025-12-17 14:27,1,"1.空输入处理：计算式为空时，回车后清空结果框，不显示错误
2.错误处理改进：计算出错时不再显示错误信息，结果框保持空或之前的值，用户可以继续输入修正
3.实时计算：添加了 input 事件监听，输入时自动计算结果（如果表达式有效），体验更流畅
4.ans 无值时处理：如果没有上次结果，ans 会被替换为 0，避免报错
5.结果验证：检查 eval 返回值是否为 undefined 或 null，避免无效结果",2025-12-19
QMax Bridge,https://getquicker.net/Sharedaction?code=ec4a454a-fc5c-447e-f94b-08de3ca88ddf,安装后可快速运行MAX命令/按钮/脚本,3ds Max,冰雷木子,https://getquicker.net/User/749380/%E5%86%B0%E9%9B%B7%E6%9C%A8%E5%AD%90,66.4 KB,2025-12-17 15:37,0,,2025-12-19
超级退出,https://getquicker.net/Sharedaction?code=64026ad4-a24f-48b7-f940-08de3ca88ddf,智达云工具箱-超级退出,SketchUp Application,BLACK_ROOM,https://getquicker.net/User/964219/BLACK_ROOM,1 KB,2025-12-17 14:38,0,,2025-12-19
超级进入,https://getquicker.net/Sharedaction?code=03cba661-7fef-487b-f93f-08de3ca88ddf,智达云工具箱-超级进去,SketchUp Application,BLACK_ROOM,https://getquicker.net/User/964219/BLACK_ROOM,1 KB,2025-12-17 14:36,0,,2025-12-19
隐私屏,https://getquicker.net/Sharedaction?code=7bd11b2f-23fd-4ec2-69c4-08d992b19cae,仅关闭屏幕，不睡眠,通用,Poto,https://getquicker.net/User/137838/Poto,70.1 KB,2021-10-19 13:20,13,优化 一秒延迟后再关闭屏幕,2025-12-19
超高效剪贴系统,https://getquicker.net/Sharedaction?code=00a8e3fe-69ba-41af-8dba-08dddd68dcad,左右键触发十几种不同的操作，左键辅助最有性价比的动作！,通用,星染浅夏,https://getquicker.net/User/1295122/%E6%98%9F%E6%9F%93%E6%B5%85%E5%A4%8F,675.4 KB,2025-08-18 21:14,26,"快捷操作窗新增动作页设置
快速触发支持自定义动作
操作窗新增连续删除按钮
操作窗点击按钮后会自动关闭
快速触发单键长按快速滑动不会判断为安全模式，将直接触发后滑动操作
滑动复制速度加快
解决部分操作没有回到初始点的问题",2025-12-19
简易爬虫,https://getquicker.net/Sharedaction?code=f978127c-f420-4c68-0a75-08db82194529,模拟采集信息,Microsoft Edge,阿苏00131,https://getquicker.net/User/15824/%E9%98%BF%E8%8B%8F00131,118.2 KB,2023-07-12 14:29,5,简化下逻辑,2025-12-19
SVG去色,https://getquicker.net/Sharedaction?code=7c2c0cc4-a87f-4293-806b-08ddd99dc08d,清除 Svg 图标文件的颜色信息，用于和 Quicker 图标设置种颜色保持一致。,通用,Anlv,https://getquicker.net/User/392637/Anlv,101.5 KB,2025-08-13 20:08,5,懒,2025-12-19
Everything批量搜索,https://getquicker.net/Sharedaction?code=c2f3c772-6108-4d90-dc85-08de3ac18409,快速生成Everything批量搜索语法并搜索,Everything,知产二大爷,https://getquicker.net/User/565334/%E7%9F%A5%E4%BA%A7%E4%BA%8C%E5%A4%A7%E7%88%B7,23.6 KB,2025-12-15 14:26,15,置顶窗口,2025-12-19
自动设置语言,https://getquicker.net/Sharedaction?code=e16164f9-2759-4054-d88b-08db94dc6a8e,根据条目题目，自动设置Info中Language为en-US或zh-CN,Zotero,myhan,https://getquicker.net/User/467528/myhan,3 KB,2023-08-05 18:42,4,忘了更新什么了,2025-12-19
更改界面语言,https://getquicker.net/Sharedaction?code=64e30042-6a24-4a5b-a990-08dab0af50de,更改Zotero界面语言,Zotero,myhan,https://getquicker.net/User/467528/myhan,2 KB,2022-10-19 08:57,3,修改初次安装Zotero时语言为自动时无效的情况。,2025-12-19
记录滚动条,https://getquicker.net/Sharedaction?code=ceba7aee-d467-4931-76af-08de1e50e7a2,使用chatgpt copilot gemini 豆包 DeepSeek时可以记录滚动条位置,Google Chrome,boovoo,https://getquicker.net/User/1305284/boovoo,93.1 KB,2025-11-08 21:38,7,新增支持deepseek,2025-12-19
PSExp,https://getquicker.net/Sharedaction?code=72e0cbdf-a409-4eaf-0e79-08dd0080705b,PS高级图片导出，PSyoyo+PSdodo 体验融合版,Adobe Photoshop,北京林或西,https://getquicker.net/User/207095/%E5%8C%97%E4%BA%AC%E6%9E%97%E6%88%96%E8%A5%BF,99.8 KB,2024-11-09 14:46,9,2025年12月18日13:46:20,2025-12-19
Gemini网页转API,https://getquicker.net/Sharedaction?code=54037596-7003-47cb-dca5-08de3bb54158,将Gemini网页转化为标准的 OpenAI API 本地服务。支持流式输出 (SSE)，可让 ChatBox、NextChat 等第三方客户端直接调用网页版免费额度。,通用,洛洛罗,https://getquicker.net/User/325415/%E6%B4%9B%E6%B4%9B%E7%BD%97,83 KB,2025-12-16 09:32,9,修复错误,2025-12-19
MD图枢,https://getquicker.net/Sharedaction?code=e095da57-9fee-409b-d2dd-08dc811ce449,markdown文件中，图片删除(右击动作)，图片创建，图片删除。,Typora,炸鸡爱上冰可乐,https://getquicker.net/User/66588/%E7%82%B8%E9%B8%A1%E7%88%B1%E4%B8%8A%E5%86%B0%E5%8F%AF%E4%B9%90,46.7 KB,2024-06-01 07:13,4,jfweijfioew,2025-12-19
笔顺,https://getquicker.net/Sharedaction?code=65aaa93b-331b-461f-dcb1-08de3bb54158,查询汉字的笔顺和部首,通用,Poto,https://getquicker.net/User/137838/Poto,22.9 KB,2025-12-16 13:38,1,优化,2025-12-19
