动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
快连线,https://getquicker.net/Sharedaction?code=7cab3e9a-03ed-4c54-cd8c-08dcf0f7f06b,在多个图形之间添加连接线,Microsoft PowerPoint,落日星一,https://getquicker.net/User/624819/%E8%90%BD%E6%97%A5%E6%98%9F%E4%B8%80,16.6 KB,2024-10-21 10:38,3,"1.修改操作逻辑，直到按下Q才停止连线
2.生成连线后聚焦到最后一个形状，按下E清除选择",2025-01-12
EC文字纠错\n极速版,https://getquicker.net/Sharedaction?code=af21408e-c40f-43c0-6c92-08db600b665f,想输入中文，不料输入法为英文，可立即将输入的字母转为中文输入。持续更新一些相近汉字、数字、标点符号转换功能。,通用,EC10010,https://getquicker.net/User/2997/EC10010,350.5 KB,2023-05-29 20:30,70,数字点数字 → 月点日,2025-01-12
记事本2.0,https://getquicker.net/Sharedaction?code=49545ad8-24dd-4d9e-a166-08dc6ffecc18,「即时笔记、分组标签、快速检索、自动同步、贴边隐藏」,通用,dalou,https://getquicker.net/User/76824/dalou,495 KB,2024-05-10 17:42,43,调整：换用网络子程序,2025-01-12
待办事项,https://getquicker.net/Sharedaction?code=c0510e3a-3786-4f39-32ff-08d91d10afcd,把要做的事情贴在屏幕上。,通用,大家都爱591,https://getquicker.net/User/36130/%E5%A4%A7%E5%AE%B6%E9%83%BD%E7%88%B1591,614.7 KB,2021-05-23 17:54,152,适当调快了悬浮窗的贴边相应。,2025-01-12
斗转星移,https://getquicker.net/Sharedaction?code=aa26692f-22da-46fb-0313-08dd1df9631b,Quicker2.0之窗口切换利器。,通用,大家都爱591,https://getquicker.net/User/36130/%E5%A4%A7%E5%AE%B6%E9%83%BD%E7%88%B1591,206 KB,2024-12-17 14:31,17,.,2025-01-12
琅环福地,https://getquicker.net/Sharedaction?code=4d92e061-7af7-4491-30ac-08dd2f05b402,Quicker2.0之资源管理大师。,通用,大家都爱591,https://getquicker.net/User/36130/%E5%A4%A7%E5%AE%B6%E9%83%BD%E7%88%B1591,137.7 KB,2025-01-08 18:30,11,一处细节。,2025-01-12
QQ截图,https://getquicker.net/Sharedaction?code=5c61d524-056f-46d8-02a2-08dd267f7c7b,QQ截图独立版，非快捷键截图，这下不冲突了，舒服！,通用,ZTOA10,https://getquicker.net/User/234516/ZTOA10,17.3 KB,2024-12-28 00:24,2,~ 优化,2025-01-12
巴德微信推送(WxPusher),https://getquicker.net/Sharedaction?code=a2867ab5-5111-4a67-2c6f-08dd31028e41,发送选中内容到微信,通用,Bader,https://getquicker.net/User/135289/Bader,3.9 KB,2025-01-11 00:18,3,1. 改名字,2025-01-12
计算器,https://getquicker.net/Sharedaction?code=1ae2f763-3fa6-447f-91d7-08dc79843f34,清爽直观，实时计算，高效便捷，功能强大，支持语音和历史记录功能，极速流畅的计算器,通用,MarsJack,https://getquicker.net/User/178545/MarsJack,382.4 KB,2024-05-22 14:21,215,优化一些输入体验,2025-01-12
