动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
小狼毫！,https://getquicker.net/Sharedaction?code=224c5a22-1f54-4109-3950-08dde8f7bcbc,小狼毫自动部署和重启算法,通用,Poto,https://getquicker.net/User/137838/Poto,2.3 KB,2025-09-02 03:03,0,,2025-09-02
图层复合,https://getquicker.net/Sharedaction?code=1a2fbdec-f096-48ea-d491-08dde813897e,基于活动图层名称创建图层复合。,Adobe Photoshop,Anlv,https://getquicker.net/User/392637/Anlv,20.2 KB,2025-09-01 00:21,1,"v1 2025-09-01
~. 增加面板（通过ctrl或动作菜单）",2025-09-02
自动生成板件,https://getquicker.net/Sharedaction?code=d43e950d-58c8-436f-d48c-08dde813897e,自动生成板件,海迅极速设计,站在太空的狗,https://getquicker.net/User/1092789/%E7%AB%99%E5%9C%A8%E5%A4%AA%E7%A9%BA%E7%9A%84%E7%8B%97,38.5 KB,2025-08-31 20:57,0,,2025-09-02
图片转PDF,https://getquicker.net/Sharedaction?code=34dd65a2-ba4c-4c83-d486-08dde813897e,图片/截图转PDF,通用,CGlei,https://getquicker.net/User/827370/CGlei,37.5 KB,2025-08-31 15:46,0,,2025-09-02
设备控制,https://getquicker.net/Sharedaction?code=0964d87b-ad89-4159-d483-08dde813897e,读取或变更米家设备的属性、执行方法。,通用,273.15,https://getquicker.net/User/529699/273.15,9.8 KB,2025-08-31 12:16,0,,2025-09-02
功能选择器,https://getquicker.net/Sharedaction?code=af39999e-ef53-4e63-d481-08dde813897e,选择米家中某设备支持的功能，给控制模块使用。,通用,273.15,https://getquicker.net/User/529699/273.15,15 KB,2025-08-31 12:13,0,,2025-09-02
切换当前音频输出设备静音状态,https://getquicker.net/Sharedaction?code=72465781-02b1-4144-d47f-08dde813897e,一键切换当前音频输出设备的静音状态,通用,柳桥风起,https://getquicker.net/User/2089/%E6%9F%B3%E6%A1%A5%E9%A3%8E%E8%B5%B7,3.2 KB,2025-08-31 10:36,0,,2025-09-02
斗图吧,https://getquicker.net/Sharedaction?code=59a712fc-91db-452b-eb11-08ddcb62c590,表情包动图gif，上班摸鱼必备！搭配快捷键，无需鼠标发送表情非常方便！,通用,韩道友,https://getquicker.net/User/684393/%E9%9F%A9%E9%81%93%E5%8F%8B,57.9 KB,2025-07-25 21:15,17,~修复“斗图吧”表情来源，获取失败的问题,2025-09-02
窗口面板,https://getquicker.net/Sharedaction?code=7305e077-0935-4102-6794-08dde6ea2225,超音速小型Windows任务栏。,通用,sharklaka,https://getquicker.net/User/826879/sharklaka,106.3 KB,2025-08-30 10:27,10,"[~]
修复bug",2025-09-02
跳转,https://getquicker.net/Sharedaction?code=dcfd6bae-743a-4231-eb20-08ddcb62c590,保存、另存为快速跳转工具，支持资源管理器和Directory Opus,通用,轻叹流年去,https://getquicker.net/User/686001/%E8%BD%BB%E5%8F%B9%E6%B5%81%E5%B9%B4%E5%8E%BB,118.7 KB,2025-07-26 16:24,14,+ 增加标签管理器 dte的路径获取,2025-09-02
官文重命名,https://getquicker.net/Sharedaction?code=465447f9-ab0f-4469-0305-08dd1df9631b,知产常用官文一键重命名,通用,知产二大爷,https://getquicker.net/User/565334/%E7%9F%A5%E4%BA%A7%E4%BA%8C%E5%A4%A7%E7%88%B7,172.8 KB,2024-12-17 10:16,36,修复bug,2025-09-02
MD编辑器,https://getquicker.net/Sharedaction?code=4151afe3-6513-4a5d-67df-08dd7b381966,Markdown编辑器，支持语法最广、功能最多,通用,sharklaka,https://getquicker.net/User/826879/sharklaka,17.7 KB,2025-04-14 23:31,4,修复加载过慢的问题,2025-09-02
微信图片自动旋转,https://getquicker.net/Sharedaction?code=7e8a5909-c4cc-4cf0-6024-08dcd225a467,自动旋转微信打开的图片到正确角度,WeChat,sharklaka,https://getquicker.net/User/826879/sharklaka,32.1 KB,2024-09-11 14:13,7,修复旋转,2025-09-02
左手数字键盘+屏幕小键盘,https://getquicker.net/Sharedaction?code=edd841a7-b4be-4297-096a-08ddd023581c,超强提速 建模/绘图/数据输入，左手字母键模拟数字+可选屏幕小键盘，右手不必离开鼠标就可丝滑操作，问题讨论留言。 ,通用,Qinyl_710,https://getquicker.net/User/139951/Qinyl_710,58.1 KB,2025-07-31 22:48,45,修复小键盘开关显示逻辑bug,2025-09-02
文字贴,https://getquicker.net/Sharedaction?code=b72aa666-5c23-40b8-545f-08dd72aea6c4,贴图文字、贴图文件[夹],通用,困困君,https://getquicker.net/User/743590/%E5%9B%B0%E5%9B%B0%E5%90%9B,41.8 KB,2025-04-04 03:05,20,窗口贴边,2025-09-02
灵感笔记,https://getquicker.net/Sharedaction?code=49459ac0-e5d0-4c7b-16ce-08dd656169a1,快速创建临时笔记\n支持自动保存\n浏览历史记录（按住Ctrl打开动作可直达）,通用,Fok,https://getquicker.net/User/91927/Fok,221.8 KB,2025-03-18 11:54,33,下载云端数据时可自主选择合并或者覆盖本地数据,2025-09-02
捷径面板3.0,https://getquicker.net/Sharedaction?code=4b3b6a69-15b9-4ca1-447b-08da37d44e37,捷径面板3.0,通用,Cea,https://getquicker.net/User/113342/Cea,10.9 KB,2022-05-17 21:55,70,"## v0.8.11 (2025-09-01)

- fix: 粘贴优化，捷径面板粘贴选项没有自动激活前台创建",2025-09-02
