动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
修改只读动作外观,https://getquicker.net/Sharedaction?code=4cc96c8d-279f-4424-7b8a-08dbc02d82b6,用于自定义只读动作的外观（标题、图标……）,通用,H-D-G,https://getquicker.net/User/679811/H-D-G,3.6 KB,2023-09-28 23:11,1,~ 优化从剪贴板获取动作的逻辑,2024-04-04
长图切割,https://getquicker.net/Sharedaction?code=d3984e4e-e616-46ad-39a9-08dc538292ef,长图切割，基于 Cesar  大佬的 https://getquicker.net/Sharedaction?code=6f433b12-c7bd-426d-2dff-08d8d08b61e4,Windows 资源管理器,Anlv,https://getquicker.net/User/392637/Anlv,27.7 KB,2024-04-03 15:06,1,null,2024-04-04
微信静默传输_群聊,https://getquicker.net/Sharedaction?code=c6b43040-52e1-4c4f-385d-08d90abdb6cd,静默-利用API无需登录PC发送文本/视频/文件至微信/企业微信,通用,小胖吉,https://getquicker.net/User/45249/%E5%B0%8F%E8%83%96%E5%90%89,79.8 KB,2021-04-30 14:53,4,修正教程,2024-04-04
科研通签到,https://getquicker.net/Sharedaction?code=9170ae97-70eb-4db9-f9d3-08dc50b4b80a,打开科研通网站并自动签到,通用,大怪兽芙珑,https://getquicker.net/User/716549/%E5%A4%A7%E6%80%AA%E5%85%BD%E8%8A%99%E7%8F%91,3.7 KB,2024-03-31 13:04,1,更新为默认浏览器,2024-04-04
新建超级笔记,https://getquicker.net/Sharedaction?code=57b76102-b5da-41c4-6d65-08dc52ac49e4,印象笔记内使用,Evernote,小兵李,https://getquicker.net/User/329447/%E5%B0%8F%E5%85%B5%E6%9D%8E,45 B,2024-04-03 08:29,0,,2024-04-04
