动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
翻译pro LTS,https://getquicker.net/Sharedaction?code=4d08b2ca-9ac9-462e-b289-08da6c6e93e6,"调用多个第三方API地址,直接快速翻译长文本，无需key，支持截图翻译",通用,小锴,https://getquicker.net/User/585186/%E5%B0%8F%E9%94%B4,161.6 KB,2022-07-23 18:30,89,"+LTS-1=
-移除”无用的“代码
-优化速度",2024-07-02
用USB扫描仪扫描文件,https://getquicker.net/Sharedaction?code=505feb2e-b666-438f-038a-08dbe9cdb3c1,使用USB扫描仪扫描文件,通用,FaniX,https://getquicker.net/User/52603/FaniX,80.9 KB,2023-11-20 23:58,3,"增加扫描后贴图功能
补充设置面板字段说明",2024-07-02
文器,https://getquicker.net/Sharedaction?code=d3dcdaf2-1544-43b8-17c3-08d7dec8856a,集大成的文本处理利器,通用,治钧,https://getquicker.net/User/21417/%E6%B2%BB%E9%92%A7,177.5 KB,2020-04-13 03:18,52,"本次：
- 扩展支持常规动作
- 快存支持选择目录
- 支持保持唯一窗口

最新：
- 全新改版，推出扩展机制
- 免窗调用：支持不打开文本窗口的情况下调用文器功能",2024-07-02
剪贴板2.0,https://getquicker.net/Sharedaction?code=f9fdc492-659b-465d-7959-08dc970018b2,一次复制→多次粘贴、连续复制→合并粘贴、顺序粘贴、自动填表……,通用,咿呀杀杀,https://getquicker.net/User/19337/%E5%92%BF%E5%91%80%E6%9D%80%E6%9D%80,130.8 KB,2024-06-29 00:15,3,- 单条点击粘贴支持附加按键,2024-07-02
一键删除大疆 .LRF 文件,https://getquicker.net/Sharedaction?code=2bdf82df-4f49-4b76-25fc-08dc98da1b3c,一键永久删除当前目录下的 .LRF 文件,Windows 资源管理器,Tracer,https://getquicker.net/User/42831/Tracer,2.9 KB,2024-07-01 18:34,0,,2024-07-02
PSDodo,https://getquicker.net/Sharedaction?code=9b365e94-af2a-43a4-cb01-08dbad2a79ed,PS高级图片导出,Adobe Photoshop,北京林或西,https://getquicker.net/User/207095/%E5%8C%97%E4%BA%AC%E6%9E%97%E6%88%96%E8%A5%BF,73 KB,2023-09-05 13:54,15,新增“自动获取文件名”选项，在动作设置里。,2024-07-02
计算距离,https://getquicker.net/Sharedaction?code=6bb040c2-41e4-405a-25cd-08dc98da1b3c,计算相对于窗口移动的距离,通用,Joker036,https://getquicker.net/User/393730/Joker036,8 KB,2024-06-30 23:17,1,增加了自己选择窗口的功能,2024-07-02
笔记顶部三级标题时间戳,https://getquicker.net/Sharedaction?code=324021e5-6462-43fe-25f2-08dc98da1b3c,笔记顶部添加时间戳，作为三级标题。然后自动定位到标题下方。,Obsidian,Cristian,https://getquicker.net/User/1060988/Cristian,2.8 KB,2024-07-01 16:56,0,,2024-07-02
输入状态提示,https://getquicker.net/Sharedaction?code=bfcddc29-83e2-4934-86a4-08dc51d79bc5,提示Caps Lock键/Num Lock键/Scroll Lock键/当前窗口中英文状态,通用,九牧,https://getquicker.net/User/33598/%E4%B9%9D%E7%89%A7,139.4 KB,2024-04-01 13:20,29,优化重复点击动作的步骤,2024-07-02
下载图片,https://getquicker.net/Sharedaction?code=cabf0ece-1ba7-460c-11a7-08db8c4f03af,可以说是目前最好的下载网页图片工具！支持任意图片，只需鼠标点击图片即可下载至本地，支持单选、多选两种模式！,Google Chrome,南望山,https://getquicker.net/User/684393/%E5%8D%97%E6%9C%9B%E5%B1%B1,61.9 KB,2023-07-24 22:47,16,"更新
+新增可自由设置单次下载图片，是否保存在新文件夹；
+在多选模式+保存新文件夹模式下，支持记录当前下载图片的网站地址及标题；
~优化了动作logo",2024-07-02
计算,https://getquicker.net/Sharedaction?code=11a85dfb-3603-4dba-5a4f-08dc97ed6dcb,通用计算器,通用,FaniX,https://getquicker.net/User/52603/FaniX,90.3 KB,2024-06-29 20:12,2,优化物理量计算模块算法，支持输出任意单位结果,2024-07-02
路径保存列表,https://getquicker.net/Sharedaction?code=ebca7ecd-61b8-455f-25e1-08dc98da1b3c,支持保存文件、文件夹、网址；单击列表即可调用,通用,轻叹流年去,https://getquicker.net/User/686001/%E8%BD%BB%E5%8F%B9%E6%B5%81%E5%B9%B4%E5%8E%BB,30.4 KB,2024-07-01 12:19,1,"+ 支持云端备份

因本动作支持文件、文件夹故仅支持相同计算机名云端恢复",2024-07-02
记事本2.0,https://getquicker.net/Sharedaction?code=49545ad8-24dd-4d9e-a166-08dc6ffecc18,「即时笔记、分组标签、快速检索、自动同步、贴边隐藏」,通用,dalou,https://getquicker.net/User/76824/dalou,351.4 KB,2024-05-10 17:42,21,优化：调整失焦隐藏判断逻辑,2024-07-02
