动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
遍历路径,https://getquicker.net/Sharedaction?code=07e3c975-54bb-4175-d2cb-08dc811ce449,获取目标文件夹内所有内容，按ESC退出,通用,dalou,https://getquicker.net/User/76824/dalou,18.5 KB,2024-05-31 21:26,1,-,2024-06-01
视频搜索,https://getquicker.net/Sharedaction?code=28d37abb-8d5a-462f-52a0-08da8cb04b9b,视频搜索：抖音，哔哩哔哩，快手，,Google Chrome,运营:秋风,https://getquicker.net/User/475107/%E8%BF%90%E8%90%A5%3A%E7%A7%8B%E9%A3%8E,7.9 KB,2022-09-03 17:12,6,"新增,可以自定义选择打开视频网站类型.",2024-06-01
PSCxio面板,https://getquicker.net/Sharedaction?code=d79a7479-d418-421f-d2b7-08dc811ce449,PS功能自定义面板,Adobe Photoshop,北京林或西,https://getquicker.net/User/207095/%E5%8C%97%E4%BA%AC%E6%9E%97%E6%88%96%E8%A5%BF,38.2 KB,2024-05-31 17:58,0,,2024-06-01
PS启动,https://getquicker.net/Sharedaction?code=ad3fc205-7856-4e9a-991e-08dc7a77392c,选中/剪贴板/截图/微信/Eagle/snipaste/PixPin/一键启动,通用,李考凡,https://getquicker.net/User/478204/%E6%9D%8E%E8%80%83%E5%87%A1,55.3 KB,2024-05-23 21:07,15,加AIt,2024-06-01
这动作安装过没,https://getquicker.net/Sharedaction?code=83779484-e44d-49eb-4a20-08d9c10181e6,不知道某个分享动作是否已安装？这个动作能帮到你。在动作主页运行动作。,通用,EC10010,https://getquicker.net/User/2997/EC10010,499.3 KB,2021-12-17 19:02,53,动作右键菜单增加自动模式（感谢@祥睿御免的建议）,2024-06-01
HTTP服务器,https://getquicker.net/Sharedaction?code=daadd498-0fff-4fc3-8875-08dc73ca9fbc,开启局域网HTTP服务，允许以web服务的方式访问主机文件夹。,通用,huasio,https://getquicker.net/User/20962/huasio,135 KB,2024-05-14 12:47,1,1. fit,2024-06-01
参考线Pro,https://getquicker.net/Sharedaction?code=f1e5221f-a744-44f4-585f-08db38e9bfaa,中心参考线/3等分/4等分/清除参考线/JavaScript脚本,Adobe Photoshop,李考凡,https://getquicker.net/User/478204/%E6%9D%8E%E8%80%83%E5%87%A1,34.3 KB,2023-04-10 12:33,7,**.,2024-06-01
超级剪贴板,https://getquicker.net/Sharedaction?code=90c2b81b-cd9e-41cd-4892-08d86ad454b4,连续复制和多种高级方式的增强型文字剪贴板,通用,FanXiang,https://getquicker.net/User/27525/FanXiang,75.3 KB,2020-10-08 20:36,10,添加功能 按顺序发送（自动）,2024-06-01
收纳库,https://getquicker.net/Sharedaction?code=7a9cc299-b64a-4c72-c2f4-08dc74bc40ca,一个集收纳、检索、管理于一体的多层选项搜索框,通用,dalou,https://getquicker.net/User/76824/dalou,268.2 KB,2024-05-16 08:46,7,区分手动与自动添加，加快执行速度,2024-06-01
极速预览,https://getquicker.net/Sharedaction?code=a2586cea-0743-449b-33a9-08db8f27f1ea,速览图片/音频/视频/文档/PDF/电子书等,通用,李考凡,https://getquicker.net/User/478204/%E6%9D%8E%E8%80%83%E5%87%A1,125 KB,2023-07-28 23:43,56,**,2024-06-01
双链,https://getquicker.net/Sharedaction?code=810a3406-56b1-4e02-a807-08dad6aa6376,"选中文本进行[[双链]]符,如存在双链符,则去除",Obsidian,李考凡,https://getquicker.net/User/478204/%E6%9D%8E%E8%80%83%E5%87%A1,13.3 KB,2022-12-06 18:11,4,**,2024-06-01
写入文字到剪贴板,https://getquicker.net/Sharedaction?code=f3234644-7821-4195-6af4-08dc804f50a0,拾取文字内容到剪贴板，方便跨软件粘贴,AutoCAD Application,冰雷木子,https://getquicker.net/User/749380/%E5%86%B0%E9%9B%B7%E6%9C%A8%E5%AD%90,14.9 KB,2024-05-31 10:40,0,,2024-06-01
修复 Cinema 4D 缩略图,https://getquicker.net/Sharedaction?code=6c93f92d-6e13-40b2-7851-08dbc96066f3,修复 Cinema 4D 缩略图不显示的问题。,通用,Anlv,https://getquicker.net/User/392637/Anlv,3.7 KB,2023-10-11 17:59,1,变更许可,2024-06-01
File协议,https://getquicker.net/Sharedaction?code=eeee7a8b-87e3-46d8-6ae9-08dc804f50a0,获取文件的 file:/// 路径,通用,治钧,https://getquicker.net/User/21417/%E6%B2%BB%E9%92%A7,4.2 KB,2024-05-31 09:04,0,,2024-06-01
Everything,https://getquicker.net/Sharedaction?code=ccc1805d-3d04-42a1-d9ef-08db2ba80230,也许是最好用的(本地文件)搜索神器/搜索速度吓死你/140搜索术语,Everything,李考凡,https://getquicker.net/User/478204/%E6%9D%8E%E8%80%83%E5%87%A1,318.7 KB,2023-03-25 00:27,229,**,2024-06-01
