动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
视频解析下载,https://getquicker.net/Sharedaction?code=b8b9d745-a528-4984-057a-08dc0558572f,输入链接自动解析下载,通用,乐昂岚【接定制】,https://getquicker.net/User/81137/%E4%B9%90%E6%98%82%E5%B2%9A%E3%80%90%E6%8E%A5%E5%AE%9A%E5%88%B6%E3%80%91,97 KB,2023-12-26 17:31,19,1,2024-12-02
全能窗口调整器,https://getquicker.net/Sharedaction?code=c3715e2a-aa83-42b8-eb81-08daa107cacc,调整窗口的大小、位置、透明度、置顶状态。,通用,ImmortalSty,https://getquicker.net/User/514368/ImmortalSty,302.2 KB,2022-09-28 13:25,44,[=] 将方案选择直接放入右键菜单，简化操作流程，优化体验,2024-12-02
设置亮度++,https://getquicker.net/Sharedaction?code=6d83d2bc-5fc6-4700-1a2d-08dd1194f069,"自定义修改的电脑屏幕亮度,二度修改",通用,卓尔伤,https://getquicker.net/User/476508/%E5%8D%93%E5%B0%94%E4%BC%A4,57.5 KB,2024-12-01 23:01,0,,2024-12-02
音标助手,https://getquicker.net/Sharedaction?code=fc2c1d38-8e38-49bd-87e0-08dcea511bda,选中单词后，获取并粘贴音标,通用,墨尹琳,https://getquicker.net/User/173735/%E5%A2%A8%E5%B0%B9%E7%90%B3,114.3 KB,2024-10-13 02:12,8,"新增:
	1. 云备份  生词本可上传到云端/下载到本地，保存记录不丢失
	2. 优化右键菜单   整合几个设置到一个窗口里
修复:
	生词本设置项中的提示内容错误",2024-12-02
ps置入图层,https://getquicker.net/Sharedaction?code=072facd0-bfcc-40e9-d2b1-08dc4451c63c,Adobe Photoshop一键置入指定图层路径到当前编辑psd中,Adobe Photoshop,运营:秋风,https://getquicker.net/User/475107/%E8%BF%90%E8%90%A5%3A%E7%A7%8B%E9%A3%8E,34.6 KB,2024-03-15 17:02,5,bug修复,2024-12-02
全选+新罗马,https://getquicker.net/Sharedaction?code=9ed22df5-1721-4ebf-1a26-08dd1194f069,将word中的字体全部改成新罗马，中文字体当然还是中文字体,Microsoft Word,拾北桐,https://getquicker.net/User/296107/%E6%8B%BE%E5%8C%97%E6%A1%90,2.5 KB,2024-12-01 19:49,0,,2024-12-02
批量AI总结,https://getquicker.net/Sharedaction?code=57750267-5dd3-4ad5-1a25-08dd1194f069,v1.0,通用,利姆露,https://getquicker.net/User/322875/%E5%88%A9%E5%A7%86%E9%9C%B2,49 KB,2024-12-01 19:34,0,,2024-12-02
一键启动,https://getquicker.net/Sharedaction?code=c111e9e6-e715-4763-5393-08da4b7774bd,一键启动，工作环境瞬间到位。,通用,大家都爱591,https://getquicker.net/User/36130/%E5%A4%A7%E5%AE%B6%E9%83%BD%E7%88%B1591,57.2 KB,2022-06-12 09:14,26,增强可靠性，以防还有不能最小化的软件。,2024-12-02
截图,https://getquicker.net/Sharedaction?code=c0310cb9-f725-4cff-f8e3-08dd0fae75f2,丝滑切12种截图命令/长截图/GIF/识别/Snipaste/PixPin/Quicker,通用,李考凡,https://getquicker.net/User/478204/%E6%9D%8E%E8%80%83%E5%87%A1,92.3 KB,2024-11-28 21:13,20,.,2024-12-02
常用语,https://getquicker.net/Sharedaction?code=7f95cd24-fc50-4180-266c-08dbcf12c669,快捷短语/对话模板/电话/地址/文本/密码/素材/代码/实时搜索/连续发送/标签/文件,通用,李考凡,https://getquicker.net/User/478204/%E6%9D%8E%E8%80%83%E5%87%A1,193.6 KB,2023-10-18 22:55,84,优化,2024-12-02
AI笔记,https://getquicker.net/Sharedaction?code=82311a74-c501-4df8-f19c-08dd10b8461d,Zotero编写AI笔记，v2.1,通用,利姆露,https://getquicker.net/User/322875/%E5%88%A9%E5%A7%86%E9%9C%B2,44.2 KB,2024-11-30 20:05,2,优化了是网页提问还是上传附件提问的判断方式,2024-12-02
网站收藏2.0,https://getquicker.net/Sharedaction?code=a653a1d1-6c52-4089-ba99-08dc61bfef39,"按住Ctrl启动动作可以添加网站,鼠标点击其他窗口自动关闭(可以设置那修改)",通用,zdf153,https://getquicker.net/User/20184/zdf153,434.9 KB,2024-04-22 01:35,47,自动关闭改为左键点击其他窗口,2024-12-02
Niaa,https://getquicker.net/Sharedaction?code=a325c0ed-4bc1-44df-3a18-08d92e62ae35,喵~喵~喵~\n\n集成搜索、切换、启动、关机、收藏、关闭等功能，\n致力于打造Windows系统的Assistive Button。,通用,大家都爱591,https://getquicker.net/User/36130/%E5%A4%A7%E5%AE%B6%E9%83%BD%E7%88%B1591,722.8 KB,2021-06-14 21:07,343,窗口切换：监测到手动方向键，则停止自动。,2024-12-02
转换文本格式,https://getquicker.net/Sharedaction?code=8f4dfcd6-b63b-44c5-1a19-08dd1194f069,wps调整格式为文本,WPS Office,小陈240904,https://getquicker.net/User/1129764/%E5%B0%8F%E9%99%88240904,30 B,2024-12-01 07:37,0,,2024-12-02
发送至TIM,https://getquicker.net/Sharedaction?code=07889802-f4eb-4303-d5b6-08dd044ac920,发送截图、选择的文本、选中的文件、剪贴板文本和图片至QQ联系人（QQ好友、QQ群、自己）,通用,Kenhalid,https://getquicker.net/User/977787/Kenhalid,112.2 KB,2024-11-15 06:56,6,修复子程序运行代码报错的问题,2024-12-02
发送至微信,https://getquicker.net/Sharedaction?code=6e96194a-801d-4a0d-3048-08dcfbc8d3fa,发送截图、选择的文本、选中的文件、剪贴板文本和图片至微信联系人（微信好友、微信群、微信公众号、自己）,通用,Kenhalid,https://getquicker.net/User/977787/Kenhalid,156.1 KB,2024-11-03 19:30,8,优化,2024-12-02
