动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
修改只读动作外观,https://getquicker.net/Sharedaction?code=2537b6df-3e5d-4db4-2222-08ddbc358d38,更新时保留名称和图标,通用,困困君,https://getquicker.net/User/743590/%E5%9B%B0%E5%9B%B0%E5%90%9B,31.5 KB,2025-07-06 11:00,2,针对动作库安装动作，增加重装按钮，以恢复动作最初始的外观样式,2025-07-07
PS过滤图层,https://getquicker.net/Sharedaction?code=dbde0030-54a3-4079-222e-08ddbc358d38,过滤选择的图层类型（支持智能对象/文本图层/普通图层/形状图层/调整图层）,Adobe Photoshop,北京林或西,https://getquicker.net/User/207095/%E5%8C%97%E4%BA%AC%E6%9E%97%E6%88%96%E8%A5%BF,7.2 KB,2025-07-06 17:05,2,将DOM改成AM，提升一定的速度（虽然提升不明显。）,2025-07-07
复图成件,https://getquicker.net/Sharedaction?code=dc7363a3-4255-4732-222c-08ddbc358d38,复制图片，保存为文件,通用,Poto,https://getquicker.net/User/137838/Poto,20.4 KB,2025-07-06 16:40,1,1,2025-07-07
首行缩进,https://getquicker.net/Sharedaction?code=c45b1e84-b402-4467-222b-08ddbc358d38,支持word和ppt，ppt采用VBA代码，更加方便稳定。,Microsoft PowerPoint,原++,https://getquicker.net/User/189784/%E5%8E%9F__,6.5 KB,2025-07-06 16:10,0,,2025-07-07
Chrome,https://getquicker.net/Sharedaction?code=3a2cb0e6-ea47-45c3-222a-08ddbc358d38,快速切换到Chrome浏览器，兼容MAC&WIN系统,通用,希望明天是个好天气,https://getquicker.net/User/234406/%E5%B8%8C%E6%9C%9B%E6%98%8E%E5%A4%A9%E6%98%AF%E4%B8%AA%E5%A5%BD%E5%A4%A9%E6%B0%94,12.8 KB,2025-07-06 14:07,1,快速切换到Chrome浏览器，兼容MAC系统,2025-07-07
姓氏谐音梗,https://getquicker.net/Sharedaction?code=427f0eae-4b4a-41b6-2227-08ddbc358d38,姓氏谐音梗网名生成器，取个破名想半天，娱乐一下!,通用,ZTOA10,https://getquicker.net/User/234516/ZTOA10,5.1 KB,2025-07-06 13:28,1,允许同时运行多个实例,2025-07-07
记事本,https://getquicker.net/Sharedaction?code=d3fff214-b78d-4f41-2223-08ddbc358d38,打开文本编辑App，WIN的笔记本，MAC是文本编辑,macos.exe,希望明天是个好天气,https://getquicker.net/User/234406/%E5%B8%8C%E6%9C%9B%E6%98%8E%E5%A4%A9%E6%98%AF%E4%B8%AA%E5%A5%BD%E5%A4%A9%E6%B0%94,3.2 KB,2025-07-06 11:05,1,,2025-07-07
排版助手,https://getquicker.net/Sharedaction?code=04c83c13-ca42-48a9-6027-08ddbb5965da,word排版助手，能够一键统一表格样式、一键统一图片样式、快速样式替换、快速定位、文本清洗等,Microsoft Word,饺子吖,https://getquicker.net/User/1261670/%E9%A5%BA%E5%AD%90%E5%90%96,186 KB,2025-07-05 18:23,1,.,2025-07-07
批量替换,https://getquicker.net/Sharedaction?code=6101ef1d-c0e3-477a-6020-08ddbb5965da,対Excel和WPS中表格内容进行多项批量替换,WPS Spreadsheets,心中的楼兰,https://getquicker.net/User/575768/%E5%BF%83%E4%B8%AD%E7%9A%84%E6%A5%BC%E5%85%B0,3.4 KB,2025-07-05 15:29,0,,2025-07-07
下一表格,https://getquicker.net/Sharedaction?code=e59775d0-577d-4f7f-601d-08ddbb5965da,word中快速定位到下一处表格,Microsoft Word,饺子吖,https://getquicker.net/User/1261670/%E9%A5%BA%E5%AD%90%E5%90%96,4.3 KB,2025-07-05 15:16,0,,2025-07-07
