动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
SY-link,https://getquicker.net/Sharedaction?code=65079b38-7273-4b05-b498-08d9e9132325,思源笔记+everything链接本地文件,Windows 资源管理器,卍,https://getquicker.net/User/11180/%E5%8D%8D,4.3 KB,2022-02-06 22:40,3,处理文件夹名字带“.”,2024-12-18
定位文件,https://getquicker.net/Sharedaction?code=89b8144b-9faa-4631-2585-08da81790731,打开运行中的文档所在文件夹，支持大部分软件，可自定义窗口识别规则。,通用,hustrjh,https://getquicker.net/User/449681/hustrjh,129.6 KB,2022-08-19 22:49,18,"【优化】
1、针对部分软件窗口将过长文件名省略为...的情况，改进文件定位能力。
【新增】
1、默认规则新增迅捷PDF编辑器的文件定位。
感谢网友 CHL~ 的热心反馈。",2024-12-18
常用网址,https://getquicker.net/Sharedaction?code=4e3b3161-04c9-4177-a137-08dc6ffecc18,APP 模式打开常用网址,Google Chrome,Kenhalid,https://getquicker.net/User/977787/Kenhalid,26.3 KB,2024-05-09 21:30,4,"+ 按住 Ctrl 键运行或者右键菜单可以自动把网页添加进菜单
+ 用户可以选择“自动添加至菜单末尾”还是手动粘贴至想要的位置
+ 支持 Chrome 和 Edge",2024-12-18
yt-dlp下载助手,https://getquicker.net/Sharedaction?code=0119e906-e926-4813-953c-08dd1b1aea78,快速添加各种命令，下载视频,通用,墨尹琳,https://getquicker.net/User/173735/%E5%A2%A8%E5%B0%B9%E7%90%B3,158.5 KB,2024-12-13 23:12,5,删除掉获取指令右键菜单  集中到命令面板,2024-12-18
官文重命名,https://getquicker.net/Sharedaction?code=465447f9-ab0f-4469-0305-08dd1df9631b,知产常用官文一键重命名,通用,知产二大爷,https://getquicker.net/User/565334/%E7%9F%A5%E4%BA%A7%E4%BA%8C%E5%A4%A7%E7%88%B7,27.8 KB,2024-12-17 10:16,2,增加费减通知、受理通知,2024-12-18
公文排版,https://getquicker.net/Sharedaction?code=b988e137-7bc3-4cd3-a7fd-08dad6aa6376,根据党政机关公文国标，利用VBA进行公文排版（支持WORD和WPS）,Microsoft Word,臭冬瓜,https://getquicker.net/User/3249/%E8%87%AD%E5%86%AC%E7%93%9C,1.5 MB,2022-12-06 16:37,226,"横向页码兼容 WPS
PS：WPS 与 Word 的差异越来越大，以后不再考虑两者的兼容性。由于使用的是 VBA 编写代码，以后只考虑 Word。",2024-12-18
表格/文字常用工具2.5,https://getquicker.net/Sharedaction?code=fb16360d-5736-40e7-94d8-08dc6f0c8aa6,WPS和Office常用VBA宏指令集[Excel/Word/PPT],WPS Office,Ulookperfect...,https://getquicker.net/User/675682/Ulookperfecttonight,417 KB,2024-05-08 14:47,46,新增动作右键菜单：新增右键下载VBA7.1组件。,2024-12-18
连续文字识别,https://getquicker.net/Sharedaction?code=b5c66dda-2f2b-4bf3-8e59-08dc6685e603,连续使用OCR文字识别，并将识别结果输出到桌面的同一个txt文件中，不会覆盖之前的内容,通用,V岂曰无衣A,https://getquicker.net/User/846127/V%E5%B2%82%E6%9B%B0%E6%97%A0%E8%A1%A3A,36 KB,2024-04-27 17:47,11,修复小bug,2024-12-18
随记,https://getquicker.net/Sharedaction?code=2548702c-e3d2-4afc-48ec-08da0674c009,随时记录，随地使用,通用,治钧,https://getquicker.net/User/21417/%E6%B2%BB%E9%92%A7,511.8 KB,2022-03-16 13:49,36,修复数据量过大不显示内容的问题,2024-12-18
群发消息,https://getquicker.net/Sharedaction?code=96235622-073e-49b3-030e-08dd1df9631b,在微信、钉钉群发消息,WeChat,长于舟,https://getquicker.net/User/857544/%E9%95%BF%E4%BA%8E%E8%88%9F,26.9 KB,2024-12-17 14:03,0,,2024-12-18
QuickerGPT,https://getquicker.net/Sharedaction?code=025f5b44-8ddb-4823-450b-08dd183b8d4e,一个轻量化的基于Quicker的GPT. 可以像Sider一样划词提问，简单易用。,通用,duzh,https://getquicker.net/User/104936/duzh,60.9 KB,2024-12-09 19:32,10,修复复制只能复制第一次回复的bug,2024-12-18
隐藏元素,https://getquicker.net/Sharedaction?code=3bcc51e9-51e4-4709-030d-08dd1df9631b,临时隐藏网页元素,Microsoft Edge,Dominic_Yu,https://getquicker.net/User/636973/Dominic_Yu,3.1 KB,2024-12-17 13:34,0,,2024-12-18
