动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
追更书签,https://getquicker.net/Sharedaction?code=cd38bd54-b04a-4108-7523-08dc9e8ef04d,滚轮保存书签，点击打开书签。适合网页追更小说，方便下次直接打开，也适合一些网页临时记录和打开，注意覆盖网址后无法查看历史网址,Google Chrome,戏梦轻,https://getquicker.net/User/68419/%E6%88%8F%E6%A2%A6%E8%BD%BB,1.4 KB,2024-07-08 23:36,0,,2024-07-09
ChatWindow,https://getquicker.net/Sharedaction?code=2ff0b580-b757-4716-5a83-08dbfdbb1fb8,一个简单易用的AI动作，让前沿的人工智能技术变成易于使用的生产力工具,通用,H-D-G,https://getquicker.net/User/679811/H-D-G,218.7 KB,2023-12-16 20:13,69,~ 修复了【重新提问】失败的bug,2024-07-09
以图搜图,https://getquicker.net/Sharedaction?code=91b5a693-f968-4058-5641-08d831d3046e,反向图片搜索。支持多种输入、多重搜索。右击动作图标可以添加、删除、修改和排序搜图引擎。,通用,wordpure,https://getquicker.net/User/171489/wordpure,99.3 KB,2020-07-27 23:49,61,优先使用已连接 Quicker 扩展的浏览器打开搜图链接，感谢 @zdf153 的反馈。,2024-07-09
QAttribute,https://getquicker.net/Sharedaction?code=788fe8dd-0234-4292-4dd4-08dc9ca860e5,将Excel表格中的属性定义复制粘贴为Quintiq Attribute。,Quintiq Thin Client 64-bit,Robo-K,https://getquicker.net/User/944757/Robo-K,6.6 KB,2024-07-06 08:26,3,删除多余动作,2024-07-09
百变动作,https://getquicker.net/Sharedaction?code=857dc736-c5c9-4cda-7515-08dc9e8ef04d,复制一次需要模仿的动作，在运行一次此动作，以后每次都会变成被模仿的动作，直到右键清空,通用,sd309991,https://getquicker.net/User/341619/sd309991,24.9 KB,2024-07-08 18:52,2,避免未模仿成功时的正则报错信息。,2024-07-09
AI对话,https://getquicker.net/Sharedaction?code=4d97031e-08e4-4d3a-e363-08dc7e4881b3,最全AI对话网站/(免费/数十个AI对话网站),通用,李考凡,https://getquicker.net/User/478204/%E6%9D%8E%E8%80%83%E5%87%A1,50.9 KB,2024-05-28 11:56,7,Web窗口大小优化,2024-07-09
窗口路径,https://getquicker.net/Sharedaction?code=8de27234-74e2-4862-7516-08dc9e8ef04d,选择窗口，跳转到该窗口的文件路径,通用,YLing2024,https://getquicker.net/User/367967/YLing2024,1.4 KB,2024-07-08 19:28,0,,2024-07-09
百度网盘/同步盘切换,https://getquicker.net/Sharedaction?code=cb872dd3-c5d6-4af5-0b7a-08dc9d9ab057,启停网盘，切换同步盘的同步状态，自动同步等；自动同步；同步开启前关闭预设程序等；,BaiduNetdisk,W.JAN,https://getquicker.net/User/56701/W.JAN,86.5 KB,2024-07-07 18:36,2,优化步骤,2024-07-09
改文件的时间属性,https://getquicker.net/Sharedaction?code=a40767d9-18f0-42c6-7514-08dc9e8ef04d,修改文件创建时间/修改时间、访问时间,Windows 资源管理器,用户NuIZtc2FAwA,https://getquicker.net/User/757842/%E7%94%A8%E6%88%B7NuIZtc2FAwA,13.2 KB,2024-07-08 18:52,1,优化设置时间的界面。可使用图形化界面进行修改,2024-07-09
添加歌单,https://getquicker.net/Sharedaction?code=43569ae9-8453-469d-750f-08dc9e8ef04d,QQ音乐正在播放歌曲一键快速添加到指定歌单,QQ音乐，让生活充满音乐,Yokior,https://getquicker.net/User/1040030/Yokior,31.5 KB,2024-07-08 16:20,0,,2024-07-09
断舍离小助理,https://getquicker.net/Sharedaction?code=4dc7e738-8f4f-43e2-74f9-08dc9e8ef04d,——个人物品管理。辅助完成断舍离。,通用,level1,https://getquicker.net/User/102977/level1,696.7 KB,2024-07-08 15:33,0,,2024-07-09
PS打开剪贴板图片,https://getquicker.net/Sharedaction?code=bdfaf86a-484d-42b9-74ea-08dc9e8ef04d,可用于微信和钉钉立刻用ps打开收到的图片,WeChat,希望明天是个好天气,https://getquicker.net/User/234406/%E5%B8%8C%E6%9C%9B%E6%98%8E%E5%A4%A9%E6%98%AF%E4%B8%AA%E5%A5%BD%E5%A4%A9%E6%B0%94,7.1 KB,2024-07-08 12:23,2,修复错误,2024-07-09
数据查询,https://getquicker.net/Sharedaction?code=250492e4-8cc8-43a5-3959-08d98bd92463,excel/wps数据查询,Microsoft Excel,湘喑,https://getquicker.net/User/373972/%E6%B9%98%E5%96%91,14.7 KB,2021-10-11 14:31,7,参照Xlookup函数的匹配方式，可以返回多个查找结果,2024-07-09
剪库,https://getquicker.net/Sharedaction?code=74fc2052-d397-47a3-a1cd-08d6c790cedc,记录剪贴板文本历史,通用,治钧,https://getquicker.net/User/21417/%E6%B2%BB%E9%92%A7,408.5 KB,2019-04-23 15:29,110,"本次更新：
- 文本截取长度更合理（中英文长度基本保持一致，可设置）
- 默认不使用焦点（更稳定，文本发送适合更多场景）
- 窗口弹出默认在鼠标指针右下角（更方便点选）
- 重复操作时，固定窗口位置（避免遮挡工作区）
- 窗口限制了最大尺寸为屏幕的八分之一（更易操作，避免太大时更大的鼠标移动距离，可设置）",2024-07-09
粘贴手机号,https://getquicker.net/Sharedaction?code=9c9c6c33-c6f6-4f4b-74f4-08dc9e8ef04d,用于去除复制的数字中有空格和“-”的情况,通用,lancesy,https://getquicker.net/User/581715/lancesy,2.6 KB,2024-07-08 14:30,2,更新数字较多时出现科学计数的BUG,2024-07-09
XLOOKUP,https://getquicker.net/Sharedaction?code=26b154a7-9c01-474a-74f3-08dc9e8ef04d,模拟XLOOKUP进行快速查找匹配,Microsoft Excel,湘喑,https://getquicker.net/User/373972/%E6%B9%98%E5%96%91,5.7 KB,2024-07-08 14:28,0,,2024-07-09
加日期版本号,https://getquicker.net/Sharedaction?code=0a5fa70c-5615-428f-ff44-08dc8b985333,给文件名加上/更新当前日期版本号,Windows 资源管理器,花月歌浮舟,https://getquicker.net/User/1083901/%E8%8A%B1%E6%9C%88%E6%AD%8C%E6%B5%AE%E8%88%9F,28.9 KB,2024-06-14 11:37,11,"copy模式兼容第三方文件资源管理器的，不再将复制的文件生成在桌面
",2024-07-09
记事本,https://getquicker.net/Sharedaction?code=caa2a01f-9ba5-444e-74e9-08dc9e8ef04d,轻文本记事本，随时记录， 自动备份,通用,翱翔,https://getquicker.net/User/178545/%E7%BF%B1%E7%BF%94,3 KB,2024-07-08 11:50,0,,2024-07-09
巴德催眠术,https://getquicker.net/Sharedaction?code=34b6bc8f-ec22-4b84-74e8-08dc9e8ef04d,成为你想成为的样子。,通用,Bader,https://getquicker.net/User/135289/Bader,5.7 KB,2024-07-08 11:42,0,,2024-07-09
mockjs,https://getquicker.net/Sharedaction?code=b14f7b73-d1f5-4b31-74e6-08dc9e8ef04d,使用mockjs生成模拟数据,通用,YLing2024,https://getquicker.net/User/367967/YLing2024,283.4 KB,2024-07-08 10:51,0,,2024-07-09
巴德Snipaste区域截图腳本,https://getquicker.net/Sharedaction?code=87c44f80-0a0e-47a9-74e0-08dc9e8ef04d,在做某些自动化的时候会需要区域截图，做一个小动作来直接生成区域截图的命令。,通用,Bader,https://getquicker.net/User/135289/Bader,2.6 KB,2024-07-08 09:40,0,,2024-07-09
启/禁选定网卡,https://getquicker.net/Sharedaction?code=7c09d555-2b21-432f-74df-08dc9e8ef04d,本动作适用于多网卡的用户，如：公司中使用了个人网卡的用户（可防止内网监控）。使用右击动作设置，选择后续需要经常启用/禁用的网卡，后续执行动作即可启用/禁用该网卡。,通用,霸霸☀,https://getquicker.net/User/332463/%E9%9C%B8%E9%9C%B8%E2%98%80,12.1 KB,2024-07-08 09:03,0,,2024-07-09
文件名启动,https://getquicker.net/Sharedaction?code=c57e46b1-bb8e-4c8f-bce5-08dc9bca0acf,适合家里、公司多台电脑的用户，不管软件装在C盘还是D盘，根据名字直接找到并运行,通用,轻叹流年去,https://getquicker.net/User/686001/%E8%BD%BB%E5%8F%B9%E6%B5%81%E5%B9%B4%E5%8E%BB,52.3 KB,2024-07-04 21:28,12,fix 修复跨设备同步，无对应软件导致的缓存错误,2024-07-09
