动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
悬浮球,https://getquicker.net/Sharedaction?code=c921514d-a8d6-4572-35dc-08de964148e1,展开面板，倒计时,通用,困困君,https://getquicker.net/User/743590/%E5%9B%B0%E5%9B%B0%E5%90%9B,105.3 KB,2026-04-09 23:12,1,增加更多个性化设置。,2026-04-10
MPV播放蓝光,https://getquicker.net/Sharedaction?code=32ab1b67-c195-42f1-3603-08de964148e1,选中文件后运行动作，使用mpv播放器播放蓝光iso文件,通用,用户l4XG5wFHBQA,https://getquicker.net/User/1141848/%E7%94%A8%E6%88%B7l4XG5wFHBQA,8.6 KB,2026-04-10 17:18,1,bug,2026-04-10
多平台热点浏览,https://getquicker.net/Sharedaction?code=2ae988e9-62b9-4bdd-35e9-08de964148e1,多平台热点浏览,通用,司空无言,https://getquicker.net/User/449474/%E5%8F%B8%E7%A9%BA%E6%97%A0%E8%A8%80,1.7 KB,2026-04-10 14:06,0,,2026-04-10
一键保存文档,https://getquicker.net/Sharedaction?code=c110ab0a-d018-4bae-35e8-08de964148e1,自动保存wps相关文档,通用,astroStar,https://getquicker.net/User/178545/astroStar,17.7 KB,2026-04-10 11:33,0,,2026-04-10
调整间距,https://getquicker.net/Sharedaction?code=0e5373ca-2586-4c69-35e3-08de964148e1,调整间距,Adobe Illustrator,Q-Qker,https://getquicker.net/User/684200/Q-Qker,73.9 KB,2026-04-10 10:44,0,,2026-04-10
word单元格段落下边框,https://getquicker.net/Sharedaction?code=4e25dd24-36d3-4eba-35db-08de964148e1,给word单元格段落下边框，选中需要添加段落边框的单元格，运行该动作即可。注意，不是单元格边框，是段落边框，比前者短一点。,Microsoft Word,阐幽探赜,https://getquicker.net/User/541422/%E9%98%90%E5%B9%BD%E6%8E%A2%E8%B5%9C,3.6 KB,2026-04-09 22:32,0,,2026-04-10
图标替换,https://getquicker.net/Sharedaction?code=e7ffc2e7-3718-46ee-6b50-08de954b8cf6,资源管理器文件夹图标替换面板,通用,ZTOA10,https://getquicker.net/User/234516/ZTOA10,113.4 KB,2026-04-09 11:54,0,,2026-04-10
UTF8转ANSI,https://getquicker.net/Sharedaction?code=7f933950-3082-4c59-6b4e-08de954b8cf6,文本文件编码格式由UTF-8转为ANSI,通用,种花家流氓兔,https://getquicker.net/User/158771/%E7%A7%8D%E8%8A%B1%E5%AE%B6%E6%B5%81%E6%B0%93%E5%85%94,5.2 KB,2026-04-09 11:22,0,,2026-04-10
Edge智读 ,https://getquicker.net/Sharedaction?code=50ad76e6-3757-4791-2bd1-08de8cce2f81,智能中英分拣，纯内存解码秒出声；内置沙盒环境，空选文本即可一键刹车静音。,SuperMemo 19,用户6903775097...,https://getquicker.net/User/530229/%E7%94%A8%E6%88%B7690377509746788,79.7 KB,2026-03-28 22:44,20,"📢 Edge TTS 语音智读 (大版本更新日志)

🚀 1. 核心引擎重构：零延迟“内联点火”
* 突破物理极限：彻底重写了音频解析逻辑。现在网络刚下载到几十个字节的音频碎片，系统就会在内存中瞬间解码并“直塞”给声卡。
* 实际效果：去除了所有中间等待环节，框选文字后的首句发声延迟被压榨到了 100ms 以内，真正实现“秒读”体验！同时内置了智能背压防爆阀门，长文朗读顺滑如丝，彻底告别重复卡顿。

⚡ 2. 性能降维打击：全线提速与“零 GC”
* 消灭系统级卡顿：移除了底层所有笨重的内核级线程锁（Event），全线换装现代化的轻量级 Task 异步并发流。多段音频后台预下载速度翻倍，且大幅降低 CPU 占用。
* 告别内存泄漏：引入了企业级的共享内存池（ArrayPool）。现在的音频数据用完即刻回收，不再产生任何内存碎片，哪怕挂机朗读一整天，内存占用也稳如泰山。

🛡️ 3. 部署系统装甲化：专治各种“水土不服”
* 防“假 Python”诈骗：全新升级的环境嗅探器。现在能精准识别并绕过 Windows 应用商店的虚假 Python 唤醒弹窗，强制校验 Python 3.8+ 版本，确保沙盒一键部署 100% 成功。
* 防手误崩溃保护：为首次环境配置界面加装了“防手残”安全锁。如果在自动部署途中误关了窗口，程序会弹出友好的中断确认并安全退出，再也不会抛出乱码报错了。
* 解压模块回稳：优化了内部提取引擎，去除了对额外系统 DLL 的强依赖，确保在任何复杂精简版 Windows 系统上都能完美解压运行。

🐛 4. 细节打磨与 Bug 修复
* 修复“幽灵录音”：修复了在未选中文字时点击“录制到文件”，会生成一个名为“录制__日期.mp3”空文件的逻辑漏洞。现在系统会聪明地直接拦截并提示您先选文字。",2026-04-10
拆分工作表,https://getquicker.net/Sharedaction?code=bd163400-7b1c-42a3-8380-08dd3791bd3b,将一个表格(工作簿)中的多个Sheet拆分为多个文件,Windows 资源管理器,uidloong,https://getquicker.net/User/1090058/uidloong,30.7 KB,2025-01-19 10:58,1,"1、增加批量操作
2、增加先选中文件运行直接拆分，没有选中文件则弹出选择文件窗口。",2026-04-10
