动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
裁剪画布到选区,https://getquicker.net/Sharedaction?code=66fad419-952d-4db9-d695-08dcc81fd814,裁剪画布到选择范围,Adobe Photoshop,Nian7i,https://getquicker.net/User/218805/Nian7i,3.2 KB,2024-08-30 23:45,0,,2024-08-31
外卖优惠券,https://getquicker.net/Sharedaction?code=369dd506-8476-4344-3e88-08d8ef707881,每天领取饿了么的外卖红包，用微信扫码即可。,通用,Devin,https://getquicker.net/User/14722/Devin,9.2 KB,2021-03-26 17:49,6,跟新领券二维码,2024-08-31
表格常用工具,https://getquicker.net/Sharedaction?code=fb16360d-5736-40e7-94d8-08dc6f0c8aa6,WPS和EXCEL通用。基于VBA，无法CTRL Z撤销，无填充需要右键动作选择.,WPS Office,SCT-D,https://getquicker.net/User/675682/SCT-D,106 KB,2024-05-08 14:47,13,修改小问题,2024-08-31
固定截图OCR,https://getquicker.net/Sharedaction?code=4179ff38-fff9-44fd-d68f-08dcc81fd814,在固定位置连续截图OCR,通用,sharklaka,https://getquicker.net/User/826879/sharklaka,14.1 KB,2024-08-30 17:29,0,,2024-08-31
智能拼接图片,https://getquicker.net/Sharedaction?code=3de169f6-09a3-4f02-d688-08dcc81fd814,以最小矩形智能拼接图片\n自动添加编号、边框,通用,sharklaka,https://getquicker.net/User/826879/sharklaka,50.5 KB,2024-08-30 16:05,2,支持对选择的图片文件进行拼接,2024-08-31
选择工具,https://getquicker.net/Sharedaction?code=3a397b5c-c4e6-40ac-d68a-08dcc81fd814,一个多功能的选择动作。,Adobe Photoshop,Anlv,https://getquicker.net/User/392637/Anlv,45 KB,2024-08-30 16:27,0,,2024-08-31
对齐工具,https://getquicker.net/Sharedaction?code=75131d22-893a-4b03-d689-08dcc81fd814,一个简单的工具面板，特色功能是居中对齐和文本基线对齐。,Adobe Illustrator,Anlv,https://getquicker.net/User/392637/Anlv,35 KB,2024-08-30 16:05,0,,2024-08-31
截图命名至目录,https://getquicker.net/Sharedaction?code=42c087a6-5738-49c6-9a1e-08dc72f0e55e,截图后可输入图片名称和选择要保存的文件夹（自动获取当前已打开的文件夹）,通用,原++,https://getquicker.net/User/189784/%E5%8E%9F__,13.9 KB,2024-05-13 15:22,6,更新,2024-08-31
超级剪贴板,https://getquicker.net/Sharedaction?code=90c2b81b-cd9e-41cd-4892-08d86ad454b4,连续复制和多种高级方式的增强型文字剪贴板,通用,FanXiang,https://getquicker.net/User/27525/FanXiang,76.7 KB,2020-10-08 20:36,11,优化标题长度,2024-08-31
显示字体,https://getquicker.net/Sharedaction?code=54b8f328-5aab-4c7b-d683-08dcc81fd814,用于显示当前文档使用了多少种字体。,Adobe Illustrator,Anlv,https://getquicker.net/User/392637/Anlv,2.5 KB,2024-08-30 14:51,0,,2024-08-31
记事本2.0,https://getquicker.net/Sharedaction?code=49545ad8-24dd-4d9e-a166-08dc6ffecc18,「即时笔记、分组标签、快速检索、自动同步、贴边隐藏」,通用,dalou,https://getquicker.net/User/76824/dalou,427.8 KB,2024-05-10 17:42,28,优化：贴边隐藏时再次运行动作可激活窗口,2024-08-31
