动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
引用块,https://getquicker.net/Sharedaction?code=e6b743c5-1b8e-4bda-d819-08dedb2f4570,Markdown一种基于引用块的警报语法，用于在文档中突出显示重要信息。适用于Typora和Obsidian等Markdown编辑器。,通用,HSXY,https://getquicker.net/User/587027/HSXY,6.4 KB,2026-07-07 15:19,0,,2026-07-07
动作定义查看,https://getquicker.net/Sharedaction?code=56b439e8-3577-40c1-d7fb-08dedb2f4570,"复制动作后运行动作,即可查看动作的json文本",通用,enough!,https://getquicker.net/User/897144/enough!,2.8 KB,2026-07-06 23:12,0,,2026-07-07
执行动作by鼠标横坐标,https://getquicker.net/Sharedaction?code=1d4b99b6-b0c2-4709-d7ec-08dedb2f4570,横向分割屏幕，根据鼠标位置调用不同动作,通用,用户l4XG5wFHBQA,https://getquicker.net/User/1141848/%E7%94%A8%E6%88%B7l4XG5wFHBQA,22.5 KB,2026-07-06 15:36,0,,2026-07-07
排列元素,https://getquicker.net/Sharedaction?code=6d3fa419-7349-42bf-2970-08deda5349e0,排列元素,Adobe Photoshop,Anlv,https://getquicker.net/User/392637/Anlv,33.3 KB,2026-07-06 14:20,1,更改许可,2026-07-07
禁用/启用网络,https://getquicker.net/Sharedaction?code=7531c668-51b2-4535-296f-08deda5349e0,手动修改“网络连接名称”变量里的默认值。,通用,cnerrv,https://getquicker.net/User/1399614/cnerrv,1.6 KB,2026-07-06 14:09,0,,2026-07-07
cad定位文件,https://getquicker.net/Sharedaction?code=cf18e153-7dc2-4207-296e-08deda5349e0,cad里定位打开当前文件的所在位置,AutoCAD Application,起风了zizizi,https://getquicker.net/User/1246107/%E8%B5%B7%E9%A3%8E%E4%BA%86zizizi,12.9 KB,2026-07-06 13:15,1,优化,2026-07-07
PS定位文件,https://getquicker.net/Sharedaction?code=c667e14f-e2d3-41f0-296d-08deda5349e0,PS里定位打开当前文件的所在位置,Adobe Photoshop,起风了zizizi,https://getquicker.net/User/1246107/%E8%B5%B7%E9%A3%8E%E4%BA%86zizizi,5.3 KB,2026-07-06 13:12,1,优化定位代码,2026-07-07
多功能面板,https://getquicker.net/Sharedaction?code=58d4cba4-28b7-4c0b-b9b5-08de37f0ba43,可添加网址、程序、动作、命令等到面板,通用,Simonl,https://getquicker.net/User/134191/Simonl,324.5 KB,2025-12-11 12:18,62,- 修复「划词搜索」网址带特殊字符导致和quicker代码冲突，比如“&”,2026-07-07
暴走英雄坛,https://getquicker.net/Sharedaction?code=072ae42a-7160-4e50-d169-08deb995c62e,暴走英雄坛游戏脚本,雷电模拟器,起风了zizizi,https://getquicker.net/User/1246107/%E8%B5%B7%E9%A3%8E%E4%BA%86zizizi,929.7 KB,2026-05-25 11:32,65, ,2026-07-07
全能窗口调整器,https://getquicker.net/Sharedaction?code=c3715e2a-aa83-42b8-eb81-08daa107cacc,调整窗口的大小、位置、透明度、置顶状态。,通用,ImmortalSty,https://getquicker.net/User/514368/ImmortalSty,251.2 KB,2022-09-28 13:25,52,[~] 更新依赖,2026-07-07
