动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
设置图层ID,https://getquicker.net/Sharedaction?code=df5583ef-5936-4a63-0263-08dd1eefe9dc,存储图层ID值，方便自定义选择图层,Adobe Photoshop,不会做题家,https://getquicker.net/User/962080/%E4%B8%8D%E4%BC%9A%E5%81%9A%E9%A2%98%E5%AE%B6,235.2 KB,2024-12-18 23:19,1,显示优化，增加一些可选项,2025-03-05
原神连点,https://getquicker.net/Sharedaction?code=c85bcb5f-4bc3-4ae9-53f7-08db7fc04758,智能连点器，快速过剧情,原神,小豪l,https://getquicker.net/User/448566/%E5%B0%8F%E8%B1%AAl,154.9 KB,2023-07-10 00:00,43,修改开头“动作初次使用提示”信息，方便新人使用。,2025-03-05
微信/QQNT 静默登录,https://getquicker.net/Sharedaction?code=027d0393-ef98-46d3-5350-08dcb4696e8b,后台自动静默登录 基本无感,通用,喵喵香子兰~,https://getquicker.net/User/489444/%E5%96%B5%E5%96%B5%E9%A6%99%E5%AD%90%E5%85%B0~,26.2 KB,2024-08-05 10:54,3,细节更新,2025-03-05
steam账号切换,https://getquicker.net/Sharedaction?code=b3edac14-a917-42a1-52de-08dd4e5dbd85,使用实时搜索切换steam账号，便于常切换账号或者游玩离线账号，替代steam++的账号切换功能,通用,Qthzrvy,https://getquicker.net/User/945817/Qthzrvy,41.5 KB,2025-02-17 07:37,13,"[-]首次只备份一次
[~]优化import (importlib.util)
[+]首次运行会尝试寻找注册表（HKEY_CURRENT_USER\Software\Valve\Steam SteamPath），没有则需手动选择
[-]优化子程序调用
[+]显示每个账号的最近登陆时间
[-]优化右键菜单，在实时搜索页面右键左上角图标",2025-03-05
图床,https://getquicker.net/Sharedaction?code=fc1a4162-7372-419a-3224-08daf053a987,将剪贴板图片或截图上传至自己的图床，获取图片链接，可设置图片大小限制,通用,失落无意义,https://getquicker.net/User/102998/%E5%A4%B1%E8%90%BD%E6%97%A0%E6%84%8F%E4%B9%89,183.2 KB,2023-01-08 00:49,6,新增设置 使用原文件名(sm.ms暂不支持)。默认使用时间作为文件名,2025-03-05
千分位不带小数位数,https://getquicker.net/Sharedaction?code=f5e375af-c3b5-4dfe-006a-08dcabde87f1,调整文本格式，数字显示为：千分号无小数点格式，字体为微软雅黑，字号为9号,Microsoft Excel,七七搬砖,https://getquicker.net/User/314628/%E4%B8%83%E4%B8%83%E6%90%AC%E7%A0%96,5 KB,2024-07-25 13:49,2,优化调整,2025-03-05
BinaChat,https://getquicker.net/Sharedaction?code=803a4f0c-1216-4a57-e78f-08db34194ef2,连续对话、云端历史、DeepSeek、GPT-4o、文心一言、通义千问,通用,RyanChan720,https://getquicker.net/User/119300/RyanChan720,134.9 KB,2023-04-03 16:44,23,1. 修复部分用户历史对话不可用的问题（正常运行一次对话后即可查看历史对话）,2025-03-05
标注颜色,https://getquicker.net/Sharedaction?code=e1f3115d-9fbc-4dd0-9ac5-08dd5abf9a7f,实现在Zotero中用键盘快捷键给选中的文字添加下划线和高亮,Zotero,Handger Huang,https://getquicker.net/User/64798/Handger%20Huang,3.2 KB,2025-03-04 16:29,0,,2025-03-05
记事本2.0,https://getquicker.net/Sharedaction?code=49545ad8-24dd-4d9e-a166-08dc6ffecc18,「AI对话、MD预览、快速检索、贴边隐藏、分组标签、自动同步」,通用,dalou,https://getquicker.net/User/76824/dalou,554.4 KB,2024-05-10 17:42,50,新增：摘录选中的图片文件或截图后，自动上传图床并返回链接。动作参数：摘录。,2025-03-05
好友定位,https://getquicker.net/Sharedaction?code=7fbb9922-9c4c-4ecc-5223-08dd369e5344,一键收藏微信好友/快速定位聊天窗/定制专属好友文件夹/联动多软件搜好友/标签式管理好友,WeChat,李考凡,https://getquicker.net/User/478204/%E6%9D%8E%E8%80%83%E5%87%A1,283.5 KB,2025-01-17 15:33,36,优化,2025-03-05
删除文件,https://getquicker.net/Sharedaction?code=135b6068-8b56-4a30-9aae-08dd5abf9a7f,"删除目录下的所有文件, 保留文件夹",Windows 资源管理器,hamsterkingo,https://getquicker.net/User/171244/hamsterkingo,5.7 KB,2025-03-04 15:08,0,,2025-03-05
