动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
速跳,https://getquicker.net/Sharedaction?code=e51d2a99-100a-400c-d61d-08dc842a79c6,Excel表中快速跳跃，直达目标列,Microsoft Excel,Mrshuang,https://getquicker.net/User/238117/Mrshuang,15.1 KB,2024-06-05 00:08,2,【优化】选择框自动切换到英文状态便于搜索,2024-11-28
嵌入图层3.0,https://getquicker.net/Sharedaction?code=cf6dbf15-906d-4832-1988-08dcda336f81,按Alt使用可以调整不同模式，手放到标题上面有介绍,Adobe Photoshop,不会做题家,https://getquicker.net/User/962080/%E4%B8%8D%E4%BC%9A%E5%81%9A%E9%A2%98%E5%AE%B6,367.3 KB,2024-09-21 21:17,4,取消了接口失败后，尝试使用程序exe运行脚本文件，开启之后使用多图嵌入，会有重复嵌入的BUG,2024-11-28
短语助手,https://getquicker.net/Sharedaction?code=141484dc-2e0f-480b-946d-08dd0cee64cd,添加短语，快捷输入，可导出qq搜狗拼音格式,通用,墨尹琳,https://getquicker.net/User/173735/%E5%A2%A8%E5%B0%B9%E7%90%B3,75.4 KB,2024-11-25 17:08,3,增加导出功能，可以导出为qq拼音、搜狗输入法自定义短语格式,2024-11-28
极算,https://getquicker.net/Sharedaction?code=c4185894-ea3e-460f-76d5-08dad8c1fe5e,极致计算器,通用,FanXiang,https://getquicker.net/User/27525/FanXiang,11.1 KB,2022-12-08 21:32,7,没有运算符号的情况下自动求和,2024-11-28
批量替换文字,https://getquicker.net/Sharedaction?code=0c7e3e0e-cb20-46ba-c18f-08dd0ebad0d8,word批量替换文字。,Microsoft Word,xialock_,https://getquicker.net/User/1143106/xialock_,14.6 KB,2024-11-27 19:23,0,,2024-11-28
cv文本内容->Logseq,https://getquicker.net/Sharedaction?code=eef77a48-25a7-465a-19dc-08dd09fc4d1b,功能如题。,logseq,用户yc_8nql7BQA,https://getquicker.net/User/1177330/%E7%94%A8%E6%88%B7yc_8nql7BQA,5.1 KB,2024-11-21 16:04,1,将Enter加入动作中，停用等待时间，提升将文本添加到Logsqe中的流畅度。,2024-11-28
RMusic,https://getquicker.net/Sharedaction?code=2cb4dd9c-6ad8-4705-89d7-08dc547a3ff5,古希腊掌管下载音乐的神，免费下载母带级、无损级的音乐~！,通用,RrOrange,https://getquicker.net/User/126233/RrOrange,16.6 KB,2024-04-05 10:51,3,feat:加入搜索列表,2024-11-28
文本悬浮,https://getquicker.net/Sharedaction?code=9f346787-7e19-466f-c185-08dd0ebad0d8,将选中的文本悬浮，点击后快速复制。,通用,知产二大爷,https://getquicker.net/User/565334/%E7%9F%A5%E4%BA%A7%E4%BA%8C%E5%A4%A7%E7%88%B7,16 KB,2024-11-27 16:20,4,修复bug,2024-11-28
果媒转换,https://getquicker.net/Sharedaction?code=090f0810-06e7-44b1-9465-08dd0cee64cd,"将来自苹果设备的媒体文件转为更通用格式，mov转MP4,HEIC转jpg",Windows 资源管理器,铂略,https://getquicker.net/User/291371/%E9%93%82%E7%95%A5,12.9 KB,2024-11-25 16:27,2,成读取系统环境变量中ffmpeg路径,2024-11-28
小快记,https://getquicker.net/Sharedaction?code=02bd9eba-8aaa-4856-ce18-08dd0dc8eae4,快捷键太难记，就找小快记。,通用,Mrshuang,https://getquicker.net/User/238117/Mrshuang,60.7 KB,2024-11-26 17:46,2,【修复】提示未能运行的bug。,2024-11-28
另存为切换目录,https://getquicker.net/Sharedaction?code=34792032-a816-4137-b251-08d9c3dc42b7,快速打开最近访问过或指定文件夹,通用,诸葛笨,https://getquicker.net/User/243413/%E8%AF%B8%E8%91%9B%E7%AC%A8,91.9 KB,2021-12-21 20:25,2,"1、自行重新选择
2、设置常用的目录
3、打开过的历史文件夹",2024-11-28
专利快查,https://getquicker.net/Sharedaction?code=1ab39a56-24e5-404c-306b-08dcfbc8d3fa,快速查询专利信息。,通用,知产二大爷,https://getquicker.net/User/565334/%E7%9F%A5%E4%BA%A7%E4%BA%8C%E5%A4%A7%E7%88%B7,82.8 KB,2024-11-04 14:16,36,优化循环查询中的输入窗默认分组显示,2024-11-28
常用网址,https://getquicker.net/Sharedaction?code=4e3b3161-04c9-4177-a137-08dc6ffecc18,APP 模式打开常用网址（邮箱、GPT）,Google Chrome,Kenhalid,https://getquicker.net/User/977787/Kenhalid,9.2 KB,2024-05-09 21:30,2,"1. 添加云备份和下载，右键菜单就可以对网址进行设置
2. 显示方式更改为菜单，支持子菜单（缩进）",2024-11-28
